Name,H,B,C,D,E,F,G
Nanorana_quadranus,1,0,0,0,1,0,0
Nanorana_taihangnica,0,0,0,0,1,0,0
Nanorana_kangxianensis,0,0,1,0,0,0,0
Nanorana_yunnanensis,1,0,0,0,0,1,0
Nanorana_aenea,0,0,0,0,0,1,0
Nanorana_unculuanus,0,0,0,0,0,1,0
Nanorana_liebigii,0,1,0,0,0,0,0
Nanorana_conaensis,0,1,0,0,0,0,0
Nanorana_maculosa,0,0,0,0,0,1,0
Nanorana_arnoldi,0,0,0,0,0,1,0
Nanorana_chayuensis,1,0,0,0,0,0,0
Nanorana_medogensis,0,1,0,0,0,0,0
Nanorana_parkeri,1,1,1,0,0,0,0
Nanorana_ventripunctata,1,0,0,0,0,0,0
Nanorana_pleskei,1,0,0,0,0,0,0
