Name,H,B,C,D,E,F,G
Oreolalax_multipunctatus,0,0,0,0,1,0,0
Oreolalax_chuanbeiensis,1,0,0,0,0,0,0
Oreolalax_nanjiangensis,0,0,1,0,0,0,0
Oreolalax_omeimontis,0,0,0,0,1,0,0
Oreolalax_popei,1,0,0,0,0,0,0
Oreolalax_jingdongensis,0,0,0,0,0,1,0
Oreolalax_rugosus,1,0,0,0,0,0,0
Oreolalax_liangbeiensis,0,0,0,0,1,0,0
Oreolalax_major,1,0,0,0,0,0,0
Oreolalax_xiangchengensis,1,0,0,0,0,0,0
Oreolalax_pingii,0,0,0,0,1,0,0
Oreolalax_schmidti,1,0,0,0,0,0,0
Oreolalax_lichuanensis,0,0,0,0,1,0,0
Oreolalax_rhodostigmatus,0,0,0,0,1,0,0
