Name,H,B,C,D,E,F,G
Odorrana_tormota,0,0,0,0,1,0,0
Odorrana_nasuta,0,0,0,0,0,1,0
Odorrana_versabilis,0,0,0,0,1,0,0
Odorrana_exiliversabilis,0,0,0,0,1,0,0
Odorrana_nasica,0,0,0,0,0,1,0
Odorrana_swinhoana,0,0,0,0,1,0,0
Odorrana_utsunomiyaorum,0,0,0,0,1,0,0
Odorrana_amamiensis,0,0,0,0,1,0,0
Odorrana_narina,0,0,0,0,1,0,0
Odorrana_supranarina,0,0,0,0,1,0,0
Odorrana_banaorum,0,0,0,0,0,1,0
Odorrana_morafkai,0,0,0,0,0,1,0
Odorrana_hosii,0,0,0,0,0,1,0
Odorrana_livida,0,0,0,0,0,1,0
Odorrana_aureola,0,0,0,0,0,1,0
Odorrana_graminea,0,0,0,0,0,1,0
Odorrana_leporipes,0,0,0,0,0,1,0
Odorrana_chloronota,0,0,0,0,0,1,0
Odorrana_tiannanensis,0,0,0,0,0,1,0
Odorrana_hejiangensis,0,0,0,0,1,0,0
Odorrana_nanjiangensis,0,0,0,0,1,0,0
Odorrana_bacboensis,0,0,0,0,0,1,0
Odorrana_hainanensis,0,0,0,0,0,1,0
Odorrana_schmackeri,1,0,0,0,1,0,0
Odorrana_huanggangensis,0,0,0,0,1,0,0
Odorrana_tianmuii,0,0,0,0,1,0,0
Odorrana_geminata,0,0,0,0,0,1,0
Odorrana_chapaensis,0,0,0,0,0,1,0
Odorrana_wuchuanensis,0,0,0,0,1,0,0
Odorrana_grahami,1,0,0,0,1,0,0
Odorrana_andersonii,1,0,0,0,0,1,0
Odorrana_jingdongensis,0,0,0,0,0,1,0
Odorrana_junlianensis,0,0,0,0,1,0,0
Odorrana_kuangwuensis,0,0,0,0,1,0,0
Odorrana_margaretae,1,0,0,0,1,0,0
Odorrana_yizhangensis,0,0,0,0,1,0,0
Odorrana_lungshengensis,0,0,0,0,1,0,0
Odorrana_anlungensis,0,0,0,0,1,0,0
Odorrana_ishikawae,0,0,0,0,1,0,0
Odorrana_khalam,0,0,0,0,0,1,0
Odorrana_absita,0,0,0,0,0,1,0
