Name,H,B,C,D,E,F,G
Amolops_australis,0,0,0,0,0,1,0
Amolops_gerutu,0,0,0,0,0,1,0
Amolops_larutensis,0,0,0,0,0,1,0
Amolops_cremnobatus,0,0,0,0,0,1,0
Amolops_albispinus,0,0,0,0,0,1,0
Amolops_sinensis,0,0,0,0,0,1,0
Amolops_shihaitaoi,0,0,0,0,0,1,0
Amolops_yatseni,0,0,0,0,0,1,0
Amolops_yunkaiensis,0,0,0,0,0,1,0
Amolops_ricketti,0,0,0,0,1,0,0
Amolops_wuyiensis,0,0,0,0,1,0,0
Amolops_daiyunensis,0,0,0,0,1,0,0
Amolops_hongkongensis,0,0,0,0,1,0,0
Amolops_teochew,0,0,0,0,1,0,0
Amolops_hainanensis,0,0,0,0,0,1,0
Amolops_torrentis,0,0,0,0,0,1,0
Amolops_spinapectoralis,0,0,0,0,0,1,0
Amolops_afghanus,0,0,0,0,0,1,0
Amolops_indoburmanensis,0,0,0,0,0,1,0
Amolops_marmoratus,0,1,0,0,0,0,0
Amolops_gerbillus,0,1,0,0,0,0,0
Amolops_nepalicus,0,0,0,0,0,1,0
Amolops_terraorchis,0,1,0,0,0,0,0
Amolops_mahabharatensis,0,1,0,0,0,0,0
Amolops_panhai,0,0,0,0,0,1,0
Amolops_formosus,0,1,0,0,0,0,0
Amolops_beibengensis,0,1,0,0,0,0,0
Amolops_viridimaculatus,0,0,0,0,0,1,0
Amolops_kaulbacki,1,0,0,0,0,0,0
Amolops_medogensis,0,1,0,0,0,0,0
Amolops_wangyufani,1,0,0,0,0,0,0
Amolops_chanakya,0,1,0,0,0,0,0
Amolops_tawang,0,1,0,0,0,0,0
Amolops_wangyali,0,1,0,0,0,0,0
Amolops_himalayanus,0,1,0,0,0,0,0
Amolops_pallasitatus,0,1,0,0,0,0,0
Amolops_lifanensis,1,0,0,0,0,0,0
Amolops_chayuensis,1,0,0,0,0,0,0
Amolops_granulosus,1,0,0,0,1,0,0
Amolops_jinjiangensis,1,0,0,0,0,0,0
Amolops_loloensis,1,0,0,0,1,0,0
Amolops_shuichengicus,0,0,0,0,1,0,0
Amolops_tuberodepressus,0,0,0,0,0,1,0
Amolops_mantzorum,1,0,0,0,0,0,0
Amolops_akhaorum,0,0,0,0,0,1,0
Amolops_mengdingensis,0,0,0,0,0,1,0
Amolops_archotaphus,0,0,0,0,0,1,0
Amolops_daorum,0,0,0,0,0,1,0
Amolops_iriodes,0,0,0,0,0,1,0
Amolops_mengyangensis,0,0,0,0,0,1,0
Amolops_tuanjieensis,0,0,0,0,0,1,0
Amolops_chaochin,1,0,0,0,1,0,0
Amolops_chunganensis,0,0,0,0,1,0,0
Amolops_compotrix,0,0,0,0,0,1,0
Amolops_cucae,0,0,0,0,0,1,0
Amolops_wenshanensis,0,0,0,0,0,1,0
Amolops_vitreus,0,0,0,0,0,1,0
Amolops_bellulus,1,0,0,0,0,0,0
Amolops_nyingchiensis,1,1,0,0,0,0,0
Amolops_deng,1,0,0,0,0,0,0
Amolops_putaoensis,1,0,0,0,0,0,0
Amolops_kohimaensis,0,1,0,0,0,0,0
Amolops_aniqiaoensis,0,1,0,0,0,0,0
Amolops_adicola,0,1,0,0,0,0,0
Amolops_monticola,0,1,0,0,0,0,0
