Name,H,B,C,D,E,F,G
Rana_boylii,0,0,0,0,0,0,1
Rana_draytonii,0,0,0,0,0,0,1
Rana_sierrae,0,0,0,0,0,0,1
Rana_muscosa,0,0,0,0,0,0,1
Rana_aurora,0,0,0,0,0,0,1
Rana_cascadae,0,0,0,0,0,0,1
Rana_luteiventris,0,0,0,0,0,0,1
Rana_pretiosa,0,0,0,0,0,0,1
Rana_coreana,0,0,1,0,0,0,0
Rana_tagoi,0,0,1,0,0,0,0
Rana_sakuraii,0,0,1,0,0,0,0
Rana_amurensis,0,0,1,0,0,0,0
Rana_dybowskii,0,0,1,0,0,0,0
Rana_pirica,0,0,1,0,0,0,0
Rana_ornativentris,0,0,1,0,0,0,0
Rana_chensinensis,1,0,1,0,0,0,0
Rana_kukunoris,1,0,1,0,0,0,0
Rana_huanrensis,0,0,1,0,0,0,0
Rana_japonica,0,0,1,0,0,0,0
Rana_culaiensis,0,0,1,0,1,0,0
Rana_longicrus,0,0,0,0,1,0,0
Rana_zhenhaiensis,0,0,0,0,1,0,0
Rana_omeimontis,1,0,0,0,1,0,0
Rana_hanluica,0,0,0,0,1,0,0
Rana_chaochiaoensis,1,0,0,0,1,0,0
Rana_maoershanensis,0,0,0,0,1,0,0
Rana_sauteri,0,0,0,0,1,0,0
Rana_latastei,0,0,1,0,0,0,0
Rana_dalmatina,0,0,1,0,0,0,0
Rana_graeca,0,0,1,0,0,0,0
Rana_asiatica,0,0,1,0,0,0,0
Rana_arvalis,0,0,1,0,0,0,0
Rana_pyrenaica,0,0,1,0,0,0,0
Rana_temporaria,0,0,1,0,0,0,0
Rana_italica,0,0,1,0,0,0,0
Rana_iberica,0,0,1,0,0,0,0
Rana_pseudodalmatina,0,0,1,0,0,0,0
Rana_macrocnemis,0,0,1,0,0,0,0
Rana_tavasensis,0,0,1,0,0,0,0
Rana_johnsi,0,0,0,0,1,1,0
Rana_zhengi,0,0,0,0,1,0,0
Rana_tsushimensis,0,0,1,0,0,0,0
Rana_ulma,0,0,0,0,1,0,0
Rana_kobai,0,0,0,0,1,0,0
Rana_shuchinae,1,0,0,0,0,0,0
