Name,H,B,C,D,E,F,G
Polypedates_otilophus,0,0,0,0,0,1,0
Polypedates_colletti,0,0,0,0,0,1,0
Polypedates_pseudocruciger,0,0,0,1,0,0,0
Polypedates_maculatus,0,1,0,1,0,0,0
Polypedates_cruciger,0,0,0,1,0,0,0
Polypedates_megacephalus,0,0,0,0,1,1,0
Polypedates_discantus,0,0,0,0,0,1,0
Polypedates_impresus,0,0,0,0,0,1,0
Polypedates_teraiensis,0,0,0,0,0,1,0
Polypedates_leucomystax,0,0,0,0,0,1,0
Polypedates_mutus,0,0,0,0,0,1,0
Polypedates_braueri,1,0,0,0,1,1,0
Polypedates_macrotis,0,0,0,0,0,1,0
