Name,H,B,C,D,E,F,G
Rhacophorus_dennysi,0,0,0,0,1,1,0
Rhacophorus_feae,0,0,0,0,0,1,0
Rhacophorus_hui,0,0,0,0,1,0,0
Rhacophorus_hungfuensis,1,0,0,0,0,0,0
Rhacophorus_wui,0,0,0,0,1,0,0
Rhacophorus_moltrechti,0,0,0,0,1,0,0
Rhacophorus_minimus,0,0,0,0,1,0,0
Rhacophorus_hongchibaensis,0,0,0,0,1,0,0
Rhacophorus_puerensis,1,0,0,0,0,1,0
Rhacophorus_dugritei,1,0,0,0,0,0,0
Rhacophorus_duboisi,0,0,0,0,0,1,0
Rhacophorus_omeimontis,1,0,0,0,1,0,0
Rhacophorus_burmanus,1,0,0,0,0,1,0
Rhacophorus_schlegelii,0,0,1,0,0,0,0
Rhacophorus_arboreus,0,0,1,0,0,0,0
Rhacophorus_dorsoviridis,0,0,0,0,0,1,0
Rhacophorus_nigropunctatus,0,0,0,0,1,1,0
Rhacophorus_chenfui,1,0,0,0,1,0,0
