Name,H,B,C,D,E,F,G
Lycodon_albofuscus,0,0,0,0,0,1,0
Lycodon_carinatus,0,0,0,1,0,0,0
Lycodon_aulicus,0,0,0,1,0,1,0
Lycodon_capucinus,0,0,0,0,0,1,0
Lycodon_flavicollis,0,0,0,1,0,0,0
Lycodon_zawi,0,0,0,0,0,1,0
Lycodon_jara,0,1,0,1,0,0,0
Lycodon_bicolor,0,0,0,1,0,0,0
Lycodon_striatus,0,0,0,1,0,0,0
Lycodon_deccanensis,0,0,0,1,0,0,0
Lycodon_laoensis,0,0,0,0,0,1,0
Lycodon_effraenis,0,0,0,0,0,1,0
Lycodon_stormi,0,0,0,0,0,1,0
Lycodon_chapaensis,1,0,0,0,0,1,0
Lycodon_futsingensis,0,0,0,0,0,1,0
Lycodon_truongi,0,0,0,0,0,1,0
Lycodon_septentrionalis,0,0,0,0,0,1,0
Lycodon_banksi,0,0,0,0,0,1,0
Lycodon_cathaya,0,0,0,0,0,1,0
Lycodon_flavozonatus,0,0,0,0,1,1,0
Lycodon_meridionalis,0,0,0,0,0,1,0
Lycodon_zayuensis,1,0,0,0,0,0,0
Lycodon_semicarinatus,0,0,0,0,1,0,0
Lycodon_paucifasciatus,0,0,0,0,0,1,0
Lycodon_rosozonatus,0,0,0,0,0,1,0
Lycodon_rufozonatus,1,0,1,0,1,1,0
Lycodon_anakradaya,0,0,0,0,0,1,0
Lycodon_sealei,0,0,0,0,0,1,0
Lycodon_subcinctus,0,0,0,0,0,1,0
Lycodon_fasciatus,0,0,0,0,0,1,0
Lycodon_butleri,0,0,0,0,0,1,0
Lycodon_cavernicolus,0,0,0,0,0,1,0
Lycodon_sidiki,0,0,0,0,0,1,0
Lycodon_gongshan,1,0,0,0,0,0,0
Lycodon_liuchengchaoi,1,0,1,0,1,0,0
Lycodon_multizonatus,1,0,1,0,0,0,0
Lycodon_serratus,1,0,0,0,0,0,0
Lycodon_pictus,0,0,0,0,0,1,0
Lycodon_ruhstrati,1,0,0,0,1,1,0
Lycodon_synaptor,0,0,0,0,0,1,0
Lycodon_obvelatus,0,0,0,0,0,1,0
Lycodon_nympha,0,0,0,1,0,0,0
Lycodon_alcalai,0,0,0,0,0,1,0
Lycodon_chrysoprateros,0,0,0,0,0,1,0
Lycodon_bibonius,0,0,0,0,0,1,0
Lycodon_muelleri,0,0,0,0,0,1,0
Lycodon_dumerilii,0,0,0,0,0,1,0
Lycodon_solivagus,0,0,0,0,0,1,0
