Name,H,B,C,D,E,F,G
Hebius_andreae,0,0,0,0,0,1,0
Hebius_atemporalis,0,0,0,0,1,1,0
Hebius_optatus,0,0,0,0,1,1,0
Hebius_popei,0,0,0,0,1,1,0
Hebius_concelarus,0,0,0,0,1,0,0
Hebius_pryeri,0,0,0,0,1,0,0
Hebius_ishigakiensis,0,0,0,0,1,0,0
Hebius_maximus,1,0,0,0,1,0,0
Hebius_vibakari,0,0,1,0,0,0,0
Hebius_sangzhiensis,0,0,0,0,1,0,0
Hebius_sauteri,0,0,0,0,1,1,0
Hebius_bitaeniatus,1,0,0,0,0,1,0
Hebius_johannis,1,0,0,0,0,1,0
Hebius_octolineatus,1,0,0,0,1,0,0
Hebius_metusia,0,0,0,0,1,0,0
Hebius_yanbianensis,1,0,0,0,1,0,0
Hebius_craspedogaster,1,0,0,0,1,1,0
Hebius_modestus,1,1,0,0,0,1,0
Hebius_septemlineatus,0,0,0,0,0,1,0
Hebius_weixiensis,1,0,0,0,0,0,0
Hebius_taronensis,0,0,0,0,0,1,0
Hebius_venningi,0,0,0,0,0,1,0
Hebius_boulengeri,0,0,0,0,1,1,0
Hebius_khasiensis,0,0,0,0,0,1,0
Hebius_clerki,0,0,0,0,0,1,0
Hebius_chapaensis,0,0,0,0,0,1,0
Hebius_deschauenseei,0,0,0,0,0,1,0
Hebius_annamensis,0,0,0,0,0,1,0
Hebius_leucomystax,0,0,0,0,0,1,0
Hebius_igneus,0,0,0,0,0,1,0
