Name,H,B,C,D,E,F,G
Rhabdophis_chiwen,1,0,0,0,0,0,0
Rhabdophis_nuchalis,1,0,0,0,1,1,0
Rhabdophis_pentasupralabialis,1,0,0,0,1,0,0
Rhabdophis_leonardi,1,0,0,0,0,1,0
Rhabdophis_swinhonis,0,0,0,0,1,0,0
Rhabdophis_guangdongensis,0,0,0,0,0,1,0
Rhabdophis_tigrinus,0,0,1,0,1,1,0
Rhabdophis_nigrocinctus,0,0,0,0,0,1,0
Rhabdophis_adleri,0,0,0,0,0,1,0
Rhabdophis_callichroma,0,0,0,0,0,1,0
Rhabdophis_bindi,0,0,0,0,0,1,0
Rhabdophis_himalayanus,1,1,0,0,0,1,0
Rhabdophis_flaviceps,0,0,0,0,0,1,0
Rhabdophis_murudensis,0,0,0,0,0,1,0
Rhabdophis_confusus,0,0,0,0,0,1,0
Rhabdophis_subminiatus,0,0,0,0,0,1,0
Rhabdophis_helleri,1,0,0,0,0,1,0
Rhabdophis_siamensis,0,0,0,0,0,1,0
Rhabdophis_plumbicolor,0,0,0,1,0,0,0
Rhabdophis_rhodomelas,0,0,0,0,0,1,0
Rhabdophis_chrysargos,0,0,0,0,0,1,0
Rhabdophis_akraios,0,0,0,0,0,1,0
