Name,H,B,C,D,E,F,G
Pareas_abros,0,0,0,0,0,1,0
Pareas_temporalis,0,0,0,0,0,1,0
Pareas_nuchalis,0,0,0,0,0,1,0
Pareas_berdmorei,0,0,0,0,0,1,0
Pareas_kuznetsovorum,0,0,0,0,0,1,0
Pareas_carinatus,0,0,0,0,0,1,0
Pareas_andersonii,0,0,0,0,0,1,0
Pareas_modestus,0,0,0,0,0,1,0
Pareas_macularius,1,0,0,0,0,1,0
Pareas_margaritophorus,0,0,0,0,0,1,0
Pareas_atayal,0,0,0,0,1,0,0
Pareas_iwasakii,0,0,0,0,1,0,0
Pareas_komaii,0,0,0,0,1,0,0
Pareas_formosensis,0,0,0,0,1,0,0
Pareas_geminatus,0,0,0,0,0,1,0
Pareas_xuelinensis,0,0,0,0,0,1,0
Pareas_yunnanensis,1,0,0,0,0,0,0
Pareas_hamptoni,0,0,0,0,0,1,0
Pareas_niger,0,0,0,0,0,1,0
Pareas_vindumi,0,0,0,0,0,1,0
Pareas_kaduri,0,1,0,0,0,0,0
Pareas_nigriceps,1,0,0,0,0,0,0
Pareas_boulengeri,1,0,0,0,1,0,0
Pareas_chinensis,1,0,0,0,1,1,0
Pareas_stanleyi,0,0,0,0,1,0,0
Pareas_monticola,1,1,0,0,0,1,0
Pareas_victorianus,0,0,0,0,0,1,0
