Name,H,B,C,D,E,F,G
Gloydius_chambensis,0,1,0,0,0,0,0
Gloydius_himalayanus,0,1,0,0,0,0,0
Gloydius_blomhoffii,0,0,1,0,0,0,0
Gloydius_tsushimaensis,0,0,1,0,0,0,0
Gloydius_ussuriensis,0,0,1,0,0,0,0
Gloydius_brevicauda,1,0,1,0,1,0,0
Gloydius_caraganus,0,0,1,0,0,0,0
Gloydius_rickmersi,0,0,1,0,0,0,0
Gloydius_caucasicus,0,0,1,0,0,0,0
Gloydius_cognatus,0,0,1,0,0,0,0
Gloydius_intermedius,0,0,1,0,0,0,0
Gloydius_shedaoensis,0,0,1,0,0,0,0
Gloydius_stejnegeri,0,0,1,0,0,0,0
Gloydius_halys,0,0,1,0,0,0,0
Gloydius_changdaoensis,0,0,1,0,0,0,0
Gloydius_liupanensis,0,0,1,0,0,0,0
Gloydius_lateralis,1,0,0,0,0,0,0
Gloydius_qinlingensis,0,0,1,0,0,0,0
Gloydius_huangi,1,0,0,0,0,0,0
Gloydius_monticola,1,0,0,0,0,0,0
Gloydius_lipipengi,1,0,0,0,0,0,0
Gloydius_rubromaculatus,1,0,1,0,0,0,0
Gloydius_swild,1,0,0,0,0,0,0
Gloydius_angusticeps,1,0,0,0,0,0,0
Gloydius_strauchi,1,0,0,0,0,0,0
