Name,H,B,C,D,E,F,G
Trimeresurus_popeiorum,0,1,0,0,0,1,0
Trimeresurus_tibetanus,0,1,0,0,0,0,0
Trimeresurus_flavomaculatus,0,0,0,0,0,1,0
Trimeresurus_mcgregori,0,0,0,0,0,1,0
Trimeresurus_schultzei,0,0,0,0,0,1,0
Trimeresurus_sumatranus,0,0,0,0,0,1,0
Trimeresurus_malcolmi,0,0,0,0,0,1,0
Trimeresurus_hageni,0,0,0,0,0,1,0
Trimeresurus_macrops,0,0,0,0,0,1,0
Trimeresurus_venustus,0,0,0,0,0,1,0
Trimeresurus_kanburiensis,0,0,0,0,0,1,0
Trimeresurus_sichuanensis,0,0,0,0,1,0,0
Trimeresurus_vogeli,0,0,0,0,0,1,0
Trimeresurus_truongsonensis,0,0,0,0,0,1,0
Trimeresurus_stejnegeri,0,0,0,0,1,1,0
Trimeresurus_gumprechti,0,0,0,0,0,1,0
Trimeresurus_yunnanensis,1,0,0,0,0,1,0
Trimeresurus_medoensis,0,1,0,0,0,0,0
Trimeresurus_septentrionalis,0,1,0,0,0,0,0
Trimeresurus_albolabris,0,0,0,0,1,1,0
Trimeresurus_erythrurus,0,0,0,0,0,1,0
Trimeresurus_purpureomaculatus,0,0,0,0,0,1,0
Trimeresurus_andersonii,0,0,0,0,0,1,0
Trimeresurus_cantori,0,0,0,0,0,1,0
Trimeresurus_fasciatus,0,0,0,0,0,1,0
Trimeresurus_insularis,0,0,0,0,0,1,0
