Name,H,B,C,D,E,F,G
Diploderma_brevipes,0,0,0,0,1,0,0
Diploderma_luei,0,0,0,0,1,0,0
Diploderma_makii,0,0,0,0,1,0,0
Diploderma_polygonatum,0,0,0,0,1,0,0
Diploderma_swinhonis,0,0,0,0,1,0,0
Diploderma_fasciatum,0,0,0,0,1,0,0
Diploderma_flaviceps,1,0,0,0,0,0,0
Diploderma_splendidum,0,0,0,0,1,0,0
Diploderma_dymondi,1,0,0,0,1,0,0
Diploderma_varcoae,0,0,0,0,1,1,0
Diploderma_swild,1,0,0,0,0,0,0
Diploderma_panlong,1,0,0,0,0,0,0
Diploderma_micangshanense,1,0,1,0,0,0,0
Diploderma_zhaoermii,1,0,0,0,0,0,0
Diploderma_iadinum,1,0,0,0,0,0,0
Diploderma_chapaense,0,0,0,0,0,1,0
Diploderma_yunnanense,1,0,0,0,0,1,0
Diploderma_menghaiense,0,0,0,0,0,1,0
Diploderma_laeviventre,1,0,0,0,0,0,0
Diploderma_yangi,1,0,0,0,0,0,0
Diploderma_slowinskii,1,0,0,0,0,0,0
Diploderma_flavilabre,1,0,0,0,0,0,0
Diploderma_bowoense,1,0,0,0,0,0,0
Diploderma_shuoquense,1,0,0,0,0,0,0
Diploderma_kangdingense,1,0,0,0,0,0,0
Diploderma_batangense,1,0,0,0,0,0,0
Diploderma_aorun,1,0,0,0,0,0,0
Diploderma_panchi,1,0,0,0,0,0,0
Diploderma_xinlongense,1,0,0,0,0,0,0
Diploderma_drukdaypo,1,0,0,0,0,0,0
Diploderma_vela,1,0,0,0,0,0,0
Diploderma_formosgulae,1,0,0,0,0,0,0
Diploderma_qilin,1,0,0,0,0,0,0
Diploderma_brevicauda,1,0,0,0,0,0,0
Diploderma_limingense,1,0,0,0,0,0,0
Diploderma_angustelinea,1,0,0,0,0,0,0
Diploderma_yulongense,1,0,0,0,0,0,0
Diploderma_daochengense,1,0,0,0,0,0,0
Diploderma_yongshengense,1,0,0,0,0,0,0
