Name,H,B,C,D,E,F,G
Takydromus_kuehnei,0,0,0,0,1,1,0
Takydromus_sexlineatus,0,0,0,0,0,1,0
Takydromus_hsuehshanensis,0,0,0,0,1,0,0
Takydromus_wolteri,0,0,1,0,0,0,0
Takydromus_viridipunctatus,0,0,0,0,1,0,0
Takydromus_formosanus,0,0,0,0,1,0,0
Takydromus_luyeanus,0,0,0,0,1,0,0
Takydromus_septentrionalis,1,0,1,0,1,0,0
Takydromus_stejnegeri,0,0,0,0,1,0,0
Takydromus_toyamai,0,0,0,0,1,0,0
Takydromus_amurensis,0,0,1,0,0,0,0
Takydromus_intermedius,1,0,0,0,1,0,0
Takydromus_sylvaticus,0,0,0,0,1,0,0
Takydromus_dorsalis,0,0,0,0,1,0,0
Takydromus_sauteri,0,0,0,0,1,0,0
Takydromus_tachydromoides,0,0,1,0,0,0,0
Takydromus_smaragdinus,0,0,0,0,1,0,0
