Name,H,B,C,D,E,F,G
Plestiodon_quadrilineatus,0,0,0,0,0,1,0
Plestiodon_longirostris,0,0,0,0,0,0,1
Plestiodon_skiltonianus,0,0,0,0,0,0,1
Plestiodon_lagunensis,0,0,0,0,0,0,1
Plestiodon_gilberti,0,0,0,0,0,0,1
Plestiodon_egregius,0,0,0,0,0,0,1
Plestiodon_reynoldsi,0,0,0,0,0,0,1
Plestiodon_laticeps,0,0,0,0,0,0,1
Plestiodon_fasciatus,0,0,0,0,0,0,1
Plestiodon_septentrionalis,0,0,0,0,0,0,1
Plestiodon_multivirgatus,0,0,0,0,0,0,1
Plestiodon_tetragrammus,0,0,0,0,0,0,1
Plestiodon_callicephalus,0,0,0,0,0,0,1
Plestiodon_obsoletus,0,0,0,0,0,0,1
Plestiodon_inexpectatus,0,0,0,0,0,0,1
Plestiodon_anthracinus,0,0,0,0,0,0,1
Plestiodon_dicei,0,0,0,0,0,0,1
Plestiodon_parviauriculatus,0,0,0,0,0,0,1
Plestiodon_ochoterenae,0,0,0,0,0,0,1
Plestiodon_indubitus,0,0,0,0,0,0,1
Plestiodon_brevirostris,0,0,0,0,0,0,1
Plestiodon_dugesii,0,0,0,0,0,0,1
Plestiodon_bilineatus,0,0,0,0,0,0,1
Plestiodon_copei,0,0,0,0,0,0,1
Plestiodon_lynxe,0,0,0,0,0,0,1
Plestiodon_parvulus,0,0,0,0,0,0,1
Plestiodon_sumichrasti,0,0,0,0,0,0,1
Plestiodon_tunganus,1,0,0,0,0,0,0
Plestiodon_capito,1,0,1,0,0,0,0
Plestiodon_elegans,1,0,1,0,1,1,0
Plestiodon_marginatus,0,0,0,0,1,0,0
Plestiodon_kuchinoshimensis,0,0,0,0,1,0,0
Plestiodon_stimpsonii,0,0,0,0,1,0,0
Plestiodon_oshimensis,0,0,0,0,1,0,0
Plestiodon_latiscutatus,0,0,1,0,0,0,0
Plestiodon_finitimus,0,0,1,0,0,0,0
Plestiodon_japonicus,0,0,1,0,0,0,0
Plestiodon_barbouri,0,0,0,0,1,0,0
Plestiodon_tamdaoensis,0,0,0,0,0,1,0
Plestiodon_chinensis,0,0,0,0,1,1,0
Plestiodon_kishinouyei,0,0,0,0,1,0,0
