Name,H,B,C,D,E,F,G
Scincella_reevesii,1,0,0,0,1,1,0
Scincella_ochracea,0,0,0,0,0,1,0
Scincella_melanosticta,0,0,0,0,0,1,0
Scincella_badenensis,0,0,0,0,0,1,0
Scincella_nigrofasciata,0,0,0,0,0,1,0
Scincella_baraensis,0,0,0,0,0,1,0
Scincella_doriae,1,0,0,0,0,1,0
Scincella_rupicola,0,0,0,0,0,1,0
Scincella_rufocaudata,0,0,0,0,0,1,0
Scincella_caudaequinae,0,0,0,0,0,0,1
Scincella_modesta,0,0,1,0,1,0,0
Scincella_vandenburghi,0,0,1,0,0,0,0
Scincella_boettgeri,0,0,0,0,1,0,0
Scincella_dunan,0,0,0,0,1,0,0
Scincella_formosensis,0,0,0,0,1,0,0
Scincella_monticola,1,0,0,0,0,0,0
Scincella_potanini,1,0,0,0,0,0,0
Scincella_huanrenensis,0,0,1,0,0,0,0
Scincella_tsinlingensis,1,0,1,0,0,0,0
Scincella_lateralis,0,0,0,0,0,0,1
Scincella_gemmingeri,0,0,0,0,0,0,1
Scincella_cherriei,0,0,0,0,0,0,1
Scincella_assata,0,0,0,0,0,0,1
