Name,H,B,C,D,E,F,G
Macaca_sylvanus_CERCOPITHECIDAE_PRIMATES,0,0,1,0,0,0,0
Macaca_siberu_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_silenus_CERCOPITHECIDAE_PRIMATES,0,0,0,1,0,0,0
Macaca_pagensis_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_nemestrina_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_leonina_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_hecki_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_maura_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_tonkeana_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_ochreata_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_nigrescens_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_fascicularis_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_cyclopis_CERCOPITHECIDAE_PRIMATES,0,0,0,0,1,0,0
Macaca_fuscata_CERCOPITHECIDAE_PRIMATES,0,0,1,0,0,0,0
Macaca_nigra_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Macaca_mulatta_CERCOPITHECIDAE_PRIMATES,1,1,0,1,1,1,0
Macaca_arctoides_CERCOPITHECIDAE_PRIMATES,1,0,0,0,1,1,0
Macaca_thibetana_CERCOPITHECIDAE_PRIMATES,1,0,0,0,1,0,0
Macaca_assamensis_CERCOPITHECIDAE_PRIMATES,1,1,0,0,0,1,0
Macaca_radiata_CERCOPITHECIDAE_PRIMATES,0,0,0,1,0,0,0
Macaca_munzala_CERCOPITHECIDAE_PRIMATES,0,1,0,0,0,0,0
