Name,H,B,C,D,E,F,G
Trachypithecus_shortridgei_CERCOPITHECIDAE_PRIMATES,1,0,0,0,0,0,0
Trachypithecus_pileatus_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Trachypithecus_francoisi_CERCOPITHECIDAE_PRIMATES,0,0,0,0,1,1,0
Trachypithecus_laotum_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Trachypithecus_hatinhensis_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Trachypithecus_poliocephalus_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Trachypithecus_delacouri_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Trachypithecus_phayrei_CERCOPITHECIDAE_PRIMATES,1,0,0,0,0,1,0
Trachypithecus_obscurus_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Trachypithecus_barbei_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Trachypithecus_cristatus_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Trachypithecus_germaini_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
Trachypithecus_auratus_CERCOPITHECIDAE_PRIMATES,0,0,0,0,0,1,0
