Name,H,B,C,D,E,F,G
Lepus_americanus_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
Lepus_mandshuricus_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_yarkandensis_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_sinensis_LEPORIDAE_LAGOMORPHA,0,0,0,0,1,0,0
Lepus_brachyurus_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_oiostolus_LEPORIDAE_LAGOMORPHA,1,1,1,0,0,0,0
Lepus_comus_LEPORIDAE_LAGOMORPHA,1,0,0,0,0,1,0
Lepus_microtis_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
Lepus_capensis_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,1
Lepus_tolai_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_castroviejoi_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_corsicanus_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_othus_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
Lepus_arcticus_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
Lepus_timidus_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_coreanus_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_townsendii_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
Lepus_granatensis_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_europaeus_LEPORIDAE_LAGOMORPHA,0,0,1,0,0,0,0
Lepus_peguensis_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,1,0
Lepus_hainanus_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,1,0
Lepus_saxatilis_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
Lepus_flavigularis_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
Lepus_californicus_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
Lepus_alleni_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
Lepus_callotis_LEPORIDAE_LAGOMORPHA,0,0,0,0,0,0,1
