Name,H,B,C,D,E,F,G
Ochotona_pusilla,0,0,1,0,0,0,0
Ochotona_cansus,1,0,1,0,0,0,0
Ochotona_curzoniae,1,1,1,0,0,0,0
Ochotona_nubrica,0,1,1,0,0,0,0
Ochotona_sikimaria,0,1,0,0,0,0,0
Ochotona_qionglaiensis,1,0,0,0,0,0,0
Ochotona_thomasi,0,0,1,0,0,0,0
Ochotona_thibetana,1,0,0,0,0,0,0
Ochotona_dauurica,0,0,1,0,0,0,0
Ochotona_flatcalvariam,1,0,0,0,0,0,0
Ochotona_sacraria,1,0,0,0,0,0,0
Ochotona_syrinx,0,0,1,0,0,0,0
Ochotona_huanglongensis,1,0,0,0,0,0,0
Ochotona_erythrotis,1,0,1,0,0,0,0
Ochotona_koslowi,0,0,1,0,0,0,0
Ochotona_forresti,1,0,0,0,0,0,0
Ochotona_macrotis,1,1,1,0,0,0,0
Ochotona_iliensis,0,0,1,0,0,0,0
Ochotona_rutila,0,0,1,0,0,0,0
Ochotona_ladacensis,0,0,1,0,0,0,0
Ochotona_roylii,1,1,0,0,0,0,0
Ochotona_rufescens,0,0,1,0,0,0,0
Ochotona_vizier,0,0,1,0,0,0,0
Ochotona_collaris,0,0,0,0,0,0,1
Ochotona_princeps,0,0,0,0,0,0,1
Ochotona_argentata,0,0,1,0,0,0,0
Ochotona_opaca,0,0,1,0,0,0,0
Ochotona_pallasii,0,0,1,0,0,0,0
Ochotona_coreana,0,0,1,0,0,0,0
Ochotona_hyperborea,0,0,1,0,0,0,0
Ochotona_mantchurica,0,0,1,0,0,0,0
Ochotona_alpina,0,0,1,0,0,0,0
Ochotona_hoffmanni,0,0,1,0,0,0,0
Ochotona_turuchanensis,0,0,1,0,0,0,0
