Name,H,B,C,D,E,F,G
Echinosorex_gymnurus,0,0,0,0,0,1,0
Podogymnura_truei,0,0,0,0,0,1,0
Podogymnura_aureospinula,0,0,0,0,0,1,0
Hylomys_suillus,0,0,0,0,0,1,0
Hylomys_parvus,0,0,0,0,0,1,0
Neohylomys_hainanensis,0,0,0,0,0,1,0
Neotetracus_sinensis,1,0,0,0,0,1,0
Hylomys_megalotis,0,0,0,0,0,1,0
Hemiechinus_auritus,0,0,1,0,0,0,0
Mesechinus_dauuricus,0,0,1,0,0,0,0
Mesechinus_miodon,0,0,1,0,0,0,0
Mesechinus_hughi,1,0,1,0,0,0,0
Mesechinus_wangi,1,0,0,0,0,0,0
Paraechinus_aethiopicus,0,0,1,0,0,0,0
Paraechinus_hypomelas,0,0,1,0,0,0,0
Paraechinus_micropus,0,0,0,1,0,0,0
Paraechinus_nudiventris,0,0,0,1,0,0,0
Erinaceus_amurensis,1,0,1,0,1,0,0
Erinaceus_europaeus,0,0,1,0,0,0,0
Erinaceus_concolor,0,0,1,0,0,0,0
Erinaceus_roumanicus,0,0,1,0,0,0,0
Atelerix_frontalis,0,0,0,0,0,0,1
Atelerix_albiventris,0,0,0,0,0,0,1
Atelerix_algirus,0,0,0,0,0,0,1
