Name,H,B,C,D,E,F,G
Nannospalax_ehrenbergi,0,0,1,0,0,0,0
Nannospalax_leucodon,0,0,1,0,0,0,0
Nannospalax_xanthodon,0,0,1,0,0,0,0
Spalax_arenarius,0,0,1,0,0,0,0
Spalax_zemni,0,0,1,0,0,0,0
Spalax_microphthalmus,0,0,1,0,0,0,0
Spalax_graecus,0,0,1,0,0,0,0
Spalax_antiquus,0,0,1,0,0,0,0
Rhizomys_pruinosus,1,0,0,0,1,1,0
Rhizomys_sumatrensis,0,0,0,0,0,1,0
Rhizomys_sinensis,1,0,0,0,1,1,0
Cannomys_badius,0,0,0,0,0,1,0
Tachyoryctes_macrocephalus,0,0,0,0,0,0,1
Tachyoryctes_splendens,0,0,0,0,0,0,1
Myospalax_aspalax,0,0,1,0,0,0,0
Myospalax_psilurus,0,0,1,0,0,0,0
Eospalax_muliensis,1,0,0,0,0,0,0
Eospalax_fontanierii,1,0,1,0,0,0,0
Eospalax_rothschildi,1,0,1,0,0,0,0
Eospalax_rufescens,0,0,1,0,0,0,0
Eospalax_smithii,0,0,1,0,0,0,0
Eospalax_baileyi,1,0,0,0,0,0,0
Eospalax_cansus,1,0,1,0,0,0,0
