Name,H,B,C,D,E,F,G
Apodemus_mystacinus_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Apodemus_witherbyi_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Apodemus_uralensis_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Apodemus_pallipes_MURIDAE_RODENTIA,0,1,1,0,0,0,0
Apodemus_alpicola_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Apodemus_ponticus_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Apodemus_flavicollis_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Apodemus_sylvaticus_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Apodemus_gurkha_MURIDAE_RODENTIA,0,1,0,0,0,0,0
Apodemus_argenteus_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Apodemus_speciosus_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Apodemus_latronum_MURIDAE_RODENTIA,1,0,0,0,0,0,0
Apodemus_semotus_MURIDAE_RODENTIA,0,0,0,0,0,1,0
Apodemus_draco_MURIDAE_RODENTIA,1,0,0,0,1,1,0
Apodemus_chevrieri_MURIDAE_RODENTIA,1,0,0,0,1,0,0
Apodemus_agrarius_MURIDAE_RODENTIA,0,0,1,0,1,0,0
Apodemus_peninsulae_MURIDAE_RODENTIA,1,0,1,0,0,0,0
