Name,H,B,C,D,E,F,G
Mus_pahari_MURIDAE_RODENTIA,1,0,0,0,0,1,0
Mus_crociduroides_MURIDAE_RODENTIA,0,0,0,0,0,1,0
Mus_saxicola_MURIDAE_RODENTIA,0,1,0,1,0,0,0
Mus_platythrix_MURIDAE_RODENTIA,0,0,0,1,0,0,0
Mus_cookii_MURIDAE_RODENTIA,1,1,0,0,0,1,0
Mus_cervicolor_MURIDAE_RODENTIA,0,1,0,0,0,0,0
Mus_caroli_MURIDAE_RODENTIA,0,0,0,0,1,1,0
Mus_spretus_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Mus_musculus_MURIDAE_RODENTIA,1,1,1,1,1,1,0
Mus_spicilegus_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Mus_macedonicus_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Mus_cypriacus_MURIDAE_RODENTIA,0,0,1,0,0,0,0
Mus_fragilicauda_MURIDAE_RODENTIA,0,0,0,0,0,1,0
Mus_terricolor_MURIDAE_RODENTIA,0,1,0,1,0,0,0
Mus_famulus_MURIDAE_RODENTIA,0,0,0,1,0,0,0
Mus_booduga_MURIDAE_RODENTIA,0,1,0,1,0,0,0
Mus_tenellus_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_minutoides_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_indutus_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_musculoides_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_mattheyi_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_haussa_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_sorella_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_neavei_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_bufo_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_mahomet_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_setulosus_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Muriculus_imberbis_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_triton_MURIDAE_RODENTIA,0,0,0,0,0,0,1
Mus_callewaerti_MURIDAE_RODENTIA,0,0,0,0,0,0,1
