Name,H,B,C,D,E,F,G
Niviventer_andersoni,1,0,0,0,0,0,0
Niviventer_excelsior,1,0,0,0,0,0,0
Niviventer_confucianus,1,0,1,0,1,1,0
Niviventer_bukit,0,0,0,0,0,1,0
Niviventer_sacer,0,0,1,0,0,0,0
Niviventer_lotipes,0,0,0,0,0,1,0
Niviventer_coninga,0,0,0,0,1,0,0
Niviventer_tenaster,0,0,0,0,0,1,0
Niviventer_niviventer,1,1,0,0,0,1,0
Niviventer_pianmaensis,1,0,0,0,0,0,0
Niviventer_gladiusmaculus,0,1,0,0,0,0,0
Niviventer_culturatus,0,0,0,0,1,0,0
Niviventer_eha,1,1,0,0,0,0,0
Niviventer_brahma,1,0,0,0,0,0,0
Niviventer_fengi,0,1,0,0,0,0,0
Niviventer_fulvescens,1,1,0,0,1,1,0
Niviventer_hinpoon,0,0,0,0,0,1,0
Niviventer_huang,1,0,0,0,1,1,0
Niviventer_mekongis,0,0,0,0,0,1,0
Niviventer_cremoriventer,0,0,0,0,0,1,0
Niviventer_rapit,0,0,0,0,0,1,0
Niviventer_lepturus,0,0,0,0,0,1,0
