Name,H,B,C,D,E,F,G
Rattus_andamanensis,1,1,0,0,0,1,0
Rattus_argentiventer,0,0,0,0,0,1,0
Rattus_hoffmanni,0,0,0,0,0,1,0
Rattus_baluensis,0,0,0,0,0,1,0
Rattus_tiomanicus,0,0,0,0,0,1,0
Rattus_mindorensis,0,0,0,0,0,1,0
Rattus_rattus,0,0,1,0,0,0,1
Rattus_sakeratensis,0,0,0,0,0,1,0
Rattus_tanezumi,1,1,1,0,1,1,0
Rattus_hoogerwerfi,0,0,0,0,0,1,0
Rattus_korinchi,0,0,0,0,0,1,0
Rattus_losea,0,0,0,0,1,1,0
Rattus_exulans,0,0,0,0,0,1,0
Rattus_fuscipes,0,0,0,0,0,0,1
Rattus_giluwensis,0,0,0,0,0,0,1
Rattus_verecundus,0,0,0,0,0,0,1
Rattus_praetor,0,0,0,0,0,0,1
Rattus_novaeguineae,0,0,0,0,0,0,1
Rattus_steini,0,0,0,0,0,0,1
Rattus_detentus,0,0,0,0,0,0,1
Rattus_niobe,0,0,0,0,0,0,1
Rattus_mordax,0,0,0,0,0,0,1
Rattus_leucopus,0,0,0,0,0,0,1
Rattus_morotaiensis,0,0,0,0,0,0,1
Rattus_sordidus,0,0,0,0,0,0,1
Rattus_villosissimus,0,0,0,0,0,0,1
Rattus_tunneyi,0,0,0,0,0,0,1
Rattus_colletti,0,0,0,0,0,0,1
Rattus_facetus,0,0,0,0,0,1,0
Rattus_xanthurus,0,0,0,0,0,1,0
Rattus_everetti,0,0,0,0,0,1,0
Rattus_timorensis,0,0,0,0,0,0,1
Rattus_satarae,0,0,0,1,0,0,0
Rattus_montanus,0,0,0,1,0,0,0
Rattus_nitidus,1,1,0,0,1,1,0
Rattus_pyctoris,0,1,0,0,0,0,0
Rattus_norvegicus,1,1,1,1,1,1,1
