Name,H,B,C,D,E,F,G
Phenacomys_intermedius,0,0,0,0,0,0,1
Phenacomys_ungava,0,0,0,0,0,0,1
Arborimus_albipes,0,0,0,0,0,0,1
Arborimus_longicaudus,0,0,0,0,0,0,1
Arborimus_pomo,0,0,0,0,0,0,1
Dicrostonyx_groenlandicus,0,0,0,0,0,0,1
Dicrostonyx_richardsoni,0,0,0,0,0,0,1
Dicrostonyx_hudsonius,0,0,0,0,0,0,1
Dicrostonyx_torquatus,0,0,1,0,0,0,0
Ondatra_zibethicus,0,0,0,0,0,0,1
Neofiber_alleni,0,0,0,0,0,0,1
Prometheomys_schaposchnikowi,0,0,1,0,0,0,0
Lemmus_trimucronatus,0,0,1,0,0,0,1
Lemmus_lemmus,0,0,1,0,0,0,0
Synaptomys_borealis,0,0,0,0,0,0,1
Myopus_schisticolor,0,0,1,0,0,0,0
Synaptomys_cooperi,0,0,0,0,0,0,1
Alticola_argentatus,0,0,1,0,0,0,0
Alticola_olchonensis,0,0,1,0,0,0,0
Alticola_strelzovi,0,0,1,0,0,0,0
Alticola_semicanus,0,0,1,0,0,0,0
Alticola_tuvinicus,0,0,1,0,0,0,0
Alticola_stoliczkanus,0,1,1,0,0,0,0
Alticola_barakshin,0,0,1,0,0,0,0
Alticola_lemminus,0,0,1,0,0,0,0
Alticola_macrotis,0,0,1,0,0,0,0
Clethrionomys_glareolus,0,0,1,0,0,0,0
Clethrionomys_centralis,0,0,1,0,0,0,0
Clethrionomys_gapperi,0,0,0,0,0,0,1
Clethrionomys_californicus,0,0,0,0,0,0,1
Clethrionomys_rutilus,0,0,1,0,0,0,1
Craseomys_regulus,0,0,1,0,0,0,0
Craseomys_rufocanus,0,0,1,0,0,0,0
Craseomys_rex,0,0,1,0,0,0,0
Caryomys_eva,1,0,1,0,0,0,0
Caryomys_inez,1,0,1,0,0,0,0
Eothenomys_custos,1,0,0,0,0,0,0
Eothenomys_wardi,1,0,0,0,0,0,0
Eothenomys_olitor,1,0,0,0,0,0,0
Eothenomys_proditor,1,0,0,0,0,0,0
Eothenomys_chinensis,1,0,0,0,0,0,0
Eothenomys_hintoni,1,0,0,0,0,0,0
Eothenomys_meiguensis,1,0,0,0,0,0,0
Eothenomys_jinyangensis,1,0,0,0,0,0,0
Eothenomys_luojishanensis,1,0,0,0,0,0,0
Eothenomys_tarquinius,1,0,0,0,0,0,0
Eothenomys_eleusis,0,0,0,0,1,0,0
Eothenomys_fidelis,1,0,0,0,0,0,0
Eothenomys_miletus,1,0,0,0,1,0,0
Eothenomys_shimianensis,1,0,0,0,0,0,0
Eothenomys_cachinus,1,0,0,0,0,0,0
Eothenomys_melanogaster,1,0,0,0,1,0,0
Eothenomys_colurnus,0,0,0,0,1,0,0
Bramus_fuscocapillus,0,0,1,0,0,0,0
Bramus_lutescens,0,0,1,0,0,0,0
Ellobius_talpinus,0,0,1,0,0,0,0
Ellobius_tancrei,0,0,1,0,0,0,0
Hyperacrius_fertilis,0,0,1,0,0,0,0
Dinaromys_bogdanovi,0,0,1,0,0,0,0
Eolagurus_luteus,0,0,1,0,0,0,0
Eolagurus_przewalskii,0,0,1,0,0,0,0
Lagurus_lagurus,0,0,1,0,0,0,0
Arvicola_amphibius,0,0,1,0,0,0,0
Arvicola_persicus,0,0,1,0,0,0,0
Arvicola_sapidus,0,0,1,0,0,0,0
Chionomys_gud,0,0,1,0,0,0,0
Chionomys_roberti,0,0,1,0,0,0,0
Chionomys_stekolnikovi,0,0,1,0,0,0,0
Stenocranius_gregalis,0,0,1,0,0,0,0
Stenocranius_raddei,0,0,1,0,0,0,0
Volemys_millicens,1,0,0,0,0,0,0
Volemys_musseri,1,0,0,0,0,0,0
Proedromys_bedfordi,1,0,0,0,0,0,0
Microtus_agrestis,0,0,1,0,0,0,0
Microtus_lavernedii,0,0,1,0,0,0,0
Microtus_bucharensis,0,0,1,0,0,0,0
Microtus_cabrerae,0,0,1,0,0,0,0
Microtus_arvalis,0,0,1,0,0,0,0
Microtus_obscurus,0,0,1,0,0,0,0
Microtus_transcaspicus,0,0,1,0,0,0,0
Microtus_rossiaemeridionalis,0,0,1,0,0,0,0
Microtus_kermanensis,0,0,1,0,0,0,0
Microtus_mystacinus,0,0,1,0,0,0,0
Microtus_ilaeus,0,0,1,0,0,0,0
Microtus_guentheri,0,0,1,0,0,0,0
Microtus_mustersi,0,0,1,0,0,0,0
Microtus_dogramacii,0,0,1,0,0,0,0
Microtus_hartingi,0,0,1,0,0,0,0
Microtus_socialis,0,0,1,0,0,0,0
Microtus_anatolicus,0,0,1,0,0,0,0
Microtus_irani,0,0,1,0,0,0,0
Microtus_schidlovskii,0,0,1,0,0,0,0
Microtus_paradoxus,0,0,1,0,0,0,0
Microtus_daghestanicus,0,0,1,0,0,0,0
Microtus_subterraneus,0,0,1,0,0,0,0
Microtus_felteni,0,0,1,0,0,0,0
Microtus_tatricus,0,0,1,0,0,0,0
Microtus_thomasi,0,0,1,0,0,0,0
Microtus_liechtensteini,0,0,1,0,0,0,0
Microtus_multiplex,0,0,1,0,0,0,0
Microtus_savii,0,0,1,0,0,0,0
Microtus_duodecimcostatus,0,0,1,0,0,0,0
Microtus_lusitanicus,0,0,1,0,0,0,0
Microtus_pyrenaicus,0,0,1,0,0,0,0
Microtus_brachycercus,0,0,1,0,0,0,0
Microtus_schelkovnikovi,0,0,1,0,0,0,0
Microtus_nebrodensis,0,0,1,0,0,0,0
Microtus_majori,0,0,1,0,0,0,0
Microtus_californicus,0,0,0,0,0,0,1
Microtus_mexicanus,0,0,0,0,0,0,1
Microtus_mogollonensis,0,0,0,0,0,0,1
Microtus_chrotorrhinus,0,0,0,0,0,0,1
Microtus_abbreviatus,0,0,0,0,0,0,1
Microtus_umbrosus,0,0,0,0,0,0,1
Microtus_guatemalensis,0,0,0,0,0,0,1
Microtus_oaxacensis,0,0,0,0,0,0,1
Microtus_pinetorum,0,0,0,0,0,0,1
Microtus_quasiater,0,0,0,0,0,0,1
Microtus_longicaudus,0,0,0,0,0,0,1
Microtus_montanus,0,0,0,0,0,0,1
Microtus_drummondii,0,0,0,0,0,0,1
Microtus_pennsylvanicus,0,0,0,0,0,0,1
Microtus_canicaudus,0,0,0,0,0,0,1
Microtus_townsendii,0,0,0,0,0,0,1
Microtus_oregoni,0,0,0,0,0,0,1
Microtus_xanthognathus,0,0,0,0,0,0,1
Microtus_richardsoni,0,0,0,0,0,0,1
Microtus_ochrogaster,0,0,0,0,0,0,1
Neodon_clarkei,1,0,0,0,0,1,0
Neodon_medogensis,0,1,0,0,0,0,0
Neodon_fuscus,1,0,0,0,0,0,0
Neodon_leucurus,0,1,1,0,0,0,0
Neodon_irene,1,0,0,0,0,0,0
Neodon_forresti,1,0,0,0,0,0,0
Neodon_linzhiensis,0,1,0,0,0,0,0
Neodon_sikimensis,0,1,0,0,0,0,0
Neodon_nyalamensis,0,1,0,0,0,0,0
Mictomicrotus_liangshanensis,1,0,0,0,0,0,0
Lasiopodomys_brandtii,0,0,1,0,0,0,0
Lasiopodomys_mandarinus,0,0,1,0,0,0,0
Alexandromys_kikuchii,0,0,0,0,1,0,0
Alexandromys_montebelli,0,0,1,0,0,0,0
Alexandromys_oeconomus,0,0,1,0,0,0,1
Alexandromys_maximowiczii,0,0,1,0,0,0,0
Alexandromys_evoronensis,0,0,1,0,0,0,0
Alexandromys_mujanensis,0,0,1,0,0,0,0
Alexandromys_sachalinensis,0,0,1,0,0,0,0
Alexandromys_middendorffii,0,0,1,0,0,0,0
Alexandromys_mongolicus,0,0,1,0,0,0,0
Alexandromys_shantaricus,0,0,1,0,0,0,0
Alexandromys_fortis,0,0,1,0,1,0,0
Alexandromys_limnophilus,0,0,1,0,0,0,0
