Name,H,B,C,D,E,F,G
Ratufa_affinis,0,0,0,0,0,1,0
Ratufa_bicolor,1,1,0,0,0,1,0
Ratufa_indica,0,0,0,1,0,0,0
Ratufa_macroura,0,0,0,1,0,0,0
Sciurillus_pusillus,0,0,0,0,0,0,1
Callosciurus_adamsi,0,0,0,0,0,1,0
Glyphotes_simus,0,0,0,0,0,1,0
Callosciurus_prevostii,0,0,0,0,0,1,0
Callosciurus_orestes,0,0,0,0,0,1,0
Callosciurus_nigrovittatus,0,0,0,0,0,1,0
Callosciurus_notatus,0,0,0,0,0,1,0
Callosciurus_erythraeus,1,1,0,0,1,1,0
Callosciurus_finlaysonii,0,0,0,0,0,1,0
Callosciurus_caniceps,0,0,0,0,0,1,0
Callosciurus_phayrei,0,0,0,0,0,1,0
Callosciurus_honkhoaiensis,0,0,0,0,0,1,0
Callosciurus_inornatus,0,0,0,0,0,1,0
Callosciurus_pygerythrus,0,0,0,0,0,1,0
Menetes_berdmorei,0,0,0,0,0,1,0
Rhinosciurus_laticaudatus,0,0,0,0,0,1,0
Lariscus_insignis,0,0,0,0,0,1,0
Sundasciurus_altitudinis,0,0,0,0,0,1,0
Sundasciurus_tahan,0,0,0,0,0,1,0
Sundasciurus_jentinki,0,0,0,0,0,1,0
Sundasciurus_tenuis,0,0,0,0,0,1,0
Sundasciurus_brookei,0,0,0,0,0,1,0
Sundasciurus_everetti,0,0,0,0,0,1,0
Sundasciurus_hippurus,0,0,0,0,0,1,0
Sundasciurus_hoogstraali,0,0,0,0,0,1,0
Sundasciurus_juvencus,0,0,0,0,0,1,0
Sundasciurus_moellendorffi,0,0,0,0,0,1,0
Sundasciurus_steerii,0,0,0,0,0,1,0
Sundasciurus_rabori,0,0,0,0,0,1,0
Sundasciurus_mindanensis,0,0,0,0,0,1,0
Sundasciurus_philippinensis,0,0,0,0,0,1,0
Sundasciurus_samarensis,0,0,0,0,0,1,0
Sundasciurus_fraterculus,0,0,0,0,0,1,0
Sundasciurus_robinsoni,0,0,0,0,0,1,0
Sundasciurus_lowii,0,0,0,0,0,1,0
Nannosciurus_melanotis,0,0,0,0,0,1,0
Hyosciurus_heinrichi,0,0,0,0,0,1,0
Hyosciurus_ileile,0,0,0,0,0,1,0
Prosciurillus_abstrusus,0,0,0,0,0,1,0
Prosciurillus_leucomus,0,0,0,0,0,1,0
Prosciurillus_weberi,0,0,0,0,0,1,0
Heliosciurus_gambianus,0,0,0,0,0,0,1
Rubrisciurus_rubriventer,0,0,0,0,0,1,0
Prosciurillus_murinus,0,0,0,0,0,1,0
Dremomys_gularis,0,0,0,0,0,1,0
Dremomys_pyrrhomerus,0,0,0,0,1,1,0
Dremomys_rufigenis,1,0,0,0,0,1,0
Dremomys_ornatus,0,0,0,0,0,1,0
Dremomys_lokriah,1,1,0,0,0,1,0
Dremomys_pernyi,1,0,0,0,1,1,0
Tamiops_maritimus,0,0,0,0,1,1,0
Tamiops_swinhoei,1,0,1,0,0,0,0
Tamiops_mcclellandii,0,1,0,0,0,1,0
Tamiops_rodolphii,0,0,0,0,0,1,0
Exilisciurus_concinnus,0,0,0,0,0,1,0
Exilisciurus_exilis,0,0,0,0,0,1,0
Funambulus_layardi,0,0,0,1,0,0,0
Funambulus_palmarum,0,0,0,1,0,0,0
Funambulus_pennantii,0,0,0,1,0,0,0
Funambulus_sublineatus,0,0,0,1,0,0,0
Ammospermophilus_harrisii,0,0,0,0,0,0,1
Callospermophilus_lateralis,0,0,0,0,0,0,1
Callospermophilus_madrensis,0,0,0,0,0,0,1
Callospermophilus_saturatus,0,0,0,0,0,0,1
Otospermophilus_beecheyi,0,0,0,0,0,0,1
Otospermophilus_douglasii,0,0,0,0,0,0,1
Otospermophilus_variegatus,0,0,0,0,0,0,1
Cynomys_gunnisoni,0,0,0,0,0,0,1
Cynomys_leucurus,0,0,0,0,0,0,1
Cynomys_parvidens,0,0,0,0,0,0,1
Cynomys_ludovicianus,0,0,0,0,0,0,1
Cynomys_mexicanus,0,0,0,0,0,0,1
Xerospermophilus_mohavensis,0,0,0,0,0,0,1
Xerospermophilus_tereticaudus,0,0,0,0,0,0,1
Xerospermophilus_perotensis,0,0,0,0,0,0,1
Xerospermophilus_spilosoma,0,0,0,0,0,0,1
Poliocitellus_franklinii,0,0,0,0,0,0,1
Ictidomys_tridecemlineatus,0,0,0,0,0,0,1
Ictidomys_parvidens,0,0,0,0,0,0,1
Ictidomys_mexicanus,0,0,0,0,0,0,1
Urocitellus_parryii,0,0,1,0,0,0,1
Urocitellus_richardsonii,0,0,0,0,0,0,1
Urocitellus_elegans,0,0,0,0,0,0,1
Urocitellus_undulatus,0,0,1,0,0,0,0
Urocitellus_armatus,0,0,0,0,0,0,1
Urocitellus_beldingi,0,0,0,0,0,0,1
Urocitellus_columbianus,0,0,0,0,0,0,1
Urocitellus_brunneus,0,0,0,0,0,0,1
Urocitellus_canus,0,0,0,0,0,0,1
Urocitellus_mollis,0,0,0,0,0,0,1
Urocitellus_townsendii,0,0,0,0,0,0,1
Urocitellus_washingtoni,0,0,0,0,0,0,1
Spermophilus_alashanicus,0,0,1,0,0,0,0
Spermophilus_citellus,0,0,1,0,0,0,0
Spermophilus_taurensis,0,0,1,0,0,0,0
Spermophilus_xanthoprymnus,0,0,1,0,0,0,0
Spermophilus_suslicus,0,0,1,0,0,0,0
Spermophilus_brevicauda,0,0,1,0,0,0,0
Spermophilus_pallidicauda,0,0,1,0,0,0,0
Spermophilus_relictus,0,0,1,0,0,0,0
Spermophilus_erythrogenys,0,0,1,0,0,0,0
Spermophilus_fulvus,0,0,1,0,0,0,0
Spermophilus_major,0,0,1,0,0,0,0
Spermophilus_musicus,0,0,1,0,0,0,0
Spermophilus_pygmaeus,0,0,1,0,0,0,0
Marmota_caligata,0,0,0,0,0,0,1
Marmota_vancouverensis,0,0,0,0,0,0,1
Marmota_olympus,0,0,0,0,0,0,1
Marmota_flaviventris,0,0,0,0,0,0,1
Marmota_himalayana,1,1,1,0,0,0,0
Marmota_sibirica,0,0,1,0,0,0,0
Marmota_camtschatica,0,0,1,0,0,0,0
Marmota_kastschenkoi,0,0,1,0,0,0,0
Marmota_baibacina,0,0,1,0,0,0,0
Marmota_bobak,0,0,1,0,0,0,0
Marmota_menzbieri,0,0,1,0,0,0,0
Marmota_caudata,0,0,1,0,0,0,0
Marmota_broweri,0,0,0,0,0,0,1
Marmota_marmota,0,0,1,0,0,0,0
Marmota_monax,0,0,0,0,0,0,1
Ammospermophilus_interpres,0,0,0,0,0,0,1
Ammospermophilus_leucurus,0,0,0,0,0,0,1
Notocitellus_adocetus,0,0,0,0,0,0,1
Notocitellus_annulatus,0,0,0,0,0,0,1
Eutamias_sibiricus,1,0,1,0,0,0,0
Neotamias_amoenus,0,0,0,0,0,0,1
Neotamias_ruficaudus,0,0,0,0,0,0,1
Neotamias_minimus,0,0,0,0,0,0,1
Neotamias_quadrimaculatus,0,0,0,0,0,0,1
Neotamias_speciosus,0,0,0,0,0,0,1
Neotamias_panamintinus,0,0,0,0,0,0,1
Neotamias_alpinus,0,0,0,0,0,0,1
Neotamias_merriami,0,0,0,0,0,0,1
Neotamias_obscurus,0,0,0,0,0,0,1
Neotamias_canipes,0,0,0,0,0,0,1
Neotamias_bulleri,0,0,0,0,0,0,1
Neotamias_durangae,0,0,0,0,0,0,1
Neotamias_cinereicollis,0,0,0,0,0,0,1
Neotamias_dorsalis,0,0,0,0,0,0,1
Neotamias_quadrivittatus,0,0,0,0,0,0,1
Neotamias_umbrinus,0,0,0,0,0,0,1
Neotamias_palmeri,0,0,0,0,0,0,1
Neotamias_rufus,0,0,0,0,0,0,1
Neotamias_siskiyou,0,0,0,0,0,0,1
Neotamias_ochrogenys,0,0,0,0,0,0,1
Neotamias_townsendii,0,0,0,0,0,0,1
Neotamias_senex,0,0,0,0,0,0,1
Neotamias_sonomae,0,0,0,0,0,0,1
Tamias_striatus,0,0,0,0,0,0,1
Funisciurus_anerythrus,0,0,0,0,0,0,1
Sciurotamias_davidianus,1,0,1,0,0,0,0
Sciurotamias_forresti,1,0,0,0,0,1,0
Funisciurus_pyrropus,0,0,0,0,0,0,1
Heliosciurus_ruwenzorii,0,0,0,0,0,0,1
Paraxerus_alexandri,0,0,0,0,0,0,1
Paraxerus_cepapi,0,0,0,0,0,0,1
Protoxerus_stangeri,0,0,0,0,0,0,1
Myosciurus_pumilio,0,0,0,0,0,0,1
Atlantoxerus_getulus,0,0,1,0,0,0,0
Euxerus_erythropus,0,0,0,0,0,0,1
Xerus_rutilus,0,0,0,0,0,0,1
Geosciurus_inauris,0,0,0,0,0,0,1
Geosciurus_princeps,0,0,0,0,0,0,1
Spermophilopsis_leptodactyla,0,0,1,0,0,0,0
Microsciurus_alfari,0,0,0,0,0,0,1
Sciurus_colliaei,0,0,0,0,0,0,1
Sciurus_aureogaster,0,0,0,0,0,0,1
Sciurus_oculatus,0,0,0,0,0,0,1
Sciurus_deppei,0,0,0,0,0,0,1
Sciurus_variegatoides,0,0,0,0,0,0,1
Sciurus_yucatanensis,0,0,0,0,0,0,1
Sciurus_granatensis,0,0,0,0,0,0,1
Syntheosciurus_brochus,0,0,0,0,0,0,1
Microsciurus_flaviventer,0,0,0,0,0,0,1
Sciurus_flammifer,0,0,0,0,0,0,1
Sciurus_igniventris,0,0,0,0,0,0,1
Sciurus_pyrrhinus,0,0,0,0,0,0,1
Sciurus_ignitus,0,0,0,0,0,0,1
Sciurus_spadiceus,0,0,0,0,0,0,1
Sciurus_gilvigularis,0,0,0,0,0,0,1
Sciurus_aestuans,0,0,0,0,0,0,1
Sciurus_stramineus,0,0,0,0,0,0,1
Microsciurus_mimulus,0,0,0,0,0,0,1
Sciurus_pucheranii,0,0,0,0,0,0,1
Sciurus_alleni,0,0,0,0,0,0,1
Sciurus_arizonensis,0,0,0,0,0,0,1
Sciurus_nayaritensis,0,0,0,0,0,0,1
Sciurus_niger,0,0,0,0,0,0,1
Sciurus_carolinensis,0,0,0,0,0,0,1
Sciurus_aberti,0,0,0,0,0,0,1
Sciurus_griseus,0,0,0,0,0,0,1
Rheithrosciurus_macrotis,0,0,0,0,0,1,0
Sciurus_anomalus,0,0,1,0,0,0,0
Sciurus_lis,0,0,1,0,0,0,0
Sciurus_vulgaris,0,0,1,0,0,0,0
