Name,H,B,C,D,E,F,G
Uropsilus_nivatus,1,0,0,0,0,0,0
Uropsilus_investigator,1,0,0,0,0,0,0
Uropsilus_aequodonenia,1,0,0,0,0,0,0
Uropsilus_andersoni,1,0,0,0,0,0,0
Uropsilus_soricipes,1,0,0,0,0,0,0
Uropsilus_dabieshanensis,0,0,0,0,1,0,0
Uropsilus_atronates,1,0,0,0,0,1,0
Uropsilus_gracilis,0,0,0,0,1,0,0
Condylura_cristata,0,0,0,0,0,0,1
Desmana_moschata,0,0,1,0,0,0,0
Galemys_pyrenaicus,0,0,1,0,0,0,0
Dymecodon_pilirostris,0,0,1,0,0,0,0
Urotrichus_talpoides,0,0,1,0,0,0,0
Neurotrichus_gibbsii,0,0,0,0,0,0,1
Scaptonyx_fusicauda,1,0,0,0,0,1,0
Euroscaptor_klossi,0,0,0,0,0,1,0
Euroscaptor_kuznetsovi,0,0,0,0,0,1,0
Euroscaptor_malayanus,0,0,0,0,0,1,0
Euroscaptor_orlovi,0,0,0,0,0,1,0
Euroscaptor_longirostris,1,0,0,0,1,0,0
Euroscaptor_parvidens,0,0,0,0,0,1,0
Euroscaptor_subanura,0,0,0,0,0,1,0
Parascaptor_leucurus,1,0,0,0,0,1,0
Scaptochirus_moschatus,0,0,1,0,0,0,0
Mogera_hainana,0,0,0,0,0,1,0
Mogera_insularis,0,0,0,0,1,0,0
Mogera_kanoana,0,0,0,0,1,0,0
Mogera_latouchei,0,0,0,0,1,0,0
Mogera_tokudae,0,0,1,0,0,0,0
Mogera_wogura,0,0,1,0,0,0,0
Mogera_robusta,0,0,1,0,0,0,0
Mogera_imaizumii,0,0,1,0,0,0,0
Oreoscaptor_mizura,0,0,1,0,0,0,0
Talpa_aquitania,0,0,1,0,0,0,0
Talpa_occidentalis,0,0,1,0,0,0,0
Talpa_europaea,0,0,1,0,0,0,0
Talpa_martinorum,0,0,1,0,0,0,0
Talpa_caeca,0,0,1,0,0,0,0
Talpa_romana,0,0,1,0,0,0,0
Talpa_stankovici,0,0,1,0,0,0,0
Talpa_levantis,0,0,1,0,0,0,0
Talpa_altaica,0,0,1,0,0,0,0
Talpa_davidiana,0,0,1,0,0,0,0
Talpa_caucasica,0,0,1,0,0,0,0
Talpa_ognevi,0,0,1,0,0,0,0
Scalopus_aquaticus,0,0,0,0,0,0,1
Scapanus_latimanus,0,0,0,0,0,0,1
Scapanus_occultus,0,0,0,0,0,0,1
Scapanus_anthonyi,0,0,0,0,0,0,1
Scapanus_orarius,0,0,0,0,0,0,1
Scapanus_townsendii,0,0,0,0,0,0,1
Parascalops_breweri,0,0,0,0,0,0,1
Alpiscaptulus_medogensis,0,1,0,0,0,0,0
Scapanulus_oweni,1,0,1,0,0,0,0
