Name,H,B,C,D,E,F,G
Sorex_alpinus,0,0,1,0,0,0,0
Sorex_antinorii,0,0,1,0,0,0,0
Sorex_arcticus,0,0,0,0,0,0,1
Sorex_maritimensis,0,0,0,0,0,0,1
Sorex_daphaenodon,0,0,1,0,0,0,0
Sorex_asper,0,0,1,0,0,0,0
Sorex_tundrensis,0,0,1,0,0,0,1
Sorex_satunini,0,0,1,0,0,0,0
Sorex_araneus,0,0,1,0,0,0,0
Sorex_granarius,0,0,1,0,0,0,0
Sorex_coronatus,0,0,1,0,0,0,0
Sorex_samniticus,0,0,1,0,0,0,0
Sorex_raddei,0,0,1,0,0,0,0
Sorex_roboratus,0,0,1,0,0,0,0
Sorex_buchariensis,0,0,1,0,0,0,0
Sorex_volnuchini,0,0,1,0,0,0,0
Sorex_minutus,0,1,1,0,0,0,0
Sorex_thibetanus,1,0,0,0,0,0,0
Sorex_gracillimus,0,0,1,0,0,0,0
Sorex_minutissimus,0,0,1,0,0,0,0
Sorex_hosonoi,0,0,1,0,0,0,0
Sorex_caecutiens,0,0,1,0,0,0,0
Sorex_cansulus,1,0,0,0,0,0,0
Sorex_isodon,0,0,1,0,0,0,0
Sorex_shinto,0,0,1,0,0,0,0
Sorex_unguiculatus,0,0,1,0,0,0,0
Sorex_bedfordiae,1,0,0,0,0,0,0
Sorex_excelsus,1,0,0,0,0,0,0
Sorex_sinalis,1,0,0,0,0,0,0
Sorex_cylindricauda,1,0,0,0,0,0,0
Sorex_mirabilis,0,0,1,0,0,0,0
Sorex_bendirii,0,0,0,0,0,0,1
Sorex_palustris,0,0,0,0,0,0,1
Sorex_pacificus,0,0,0,0,0,0,1
Sorex_sonomae,0,0,0,0,0,0,1
Sorex_ornatus,0,0,0,0,0,0,1
Sorex_vagrans,0,0,0,0,0,0,1
Sorex_fumeus,0,0,0,0,0,0,1
Sorex_dispar,0,0,0,0,0,0,1
Sorex_cinereus,0,0,0,0,0,0,1
Sorex_ugyunak,0,0,0,0,0,0,1
Sorex_haydeni,0,0,0,0,0,0,1
Sorex_milleri,0,0,0,0,0,0,1
Sorex_jacksoni,0,0,0,0,0,0,1
Sorex_portenkoi,0,0,0,0,0,0,1
Sorex_pribilofensis,0,0,0,0,0,0,1
Sorex_leucogaster,0,0,1,0,0,0,0
Sorex_lyelli,0,0,0,0,0,0,1
Sorex_preblei,0,0,0,0,0,0,1
Sorex_longirostris,0,0,0,0,0,0,1
Sorex_emarginatus,0,0,0,0,0,0,1
Sorex_rohweri,0,0,0,0,0,0,1
Sorex_hoyi,0,0,0,0,0,0,1
Sorex_nanus,0,0,0,0,0,0,1
