Name,H,B,C,D,E,F,G
Cynopterus_sphinx_PTEROPODIDAE_CHIROPTERA,1,1,0,1,1,1,0
Cynopterus_horsfieldii_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Cynopterus_titthaecheilus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Cynopterus_brachyotis_PTEROPODIDAE_CHIROPTERA,0,0,0,1,0,1,0
Megaerops_ecaudatus_PTEROPODIDAE_CHIROPTERA,1,0,0,0,0,1,0
Megaerops_kusnotoi_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Megaerops_niphanae_PTEROPODIDAE_CHIROPTERA,1,1,0,0,0,1,0
Ptenochirus_minor_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Megaerops_wetmorei_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Ptenochirus_jagori_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Thoopterus_nigrescens_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Dyacopterus_spadiceus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Chironax_melanocephalus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Penthetor_lucasi_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Otopteropus_cartilagonodus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Haplonycteris_fischeri_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Alionycteris_paucidentata_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Balionycteris_maculata_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Aethalops_alecto_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Aethalops_aequalis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Sphaerias_blanfordi_PTEROPODIDAE_CHIROPTERA,1,1,0,0,0,1,0
Latidens_salimalii_PTEROPODIDAE_CHIROPTERA,0,0,0,1,0,0,0
Styloctenium_wallacei_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Styloctenium_mindorensis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Pteropus_lombocensis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Pteropus_scapulatus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_poliocephalus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_voeltzkowi_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_livingstonii_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_lylei_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Pteropus_giganteus_PTEROPODIDAE_CHIROPTERA,0,0,0,1,0,1,0
Pteropus_niger_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_aldabrensis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_rufus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_seychellensis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_rodricensis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_vampyrus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_dasymallus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,1,0,0
Pteropus_pumilus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Pteropus_ornatus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_neohibernicus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_alecto_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_hypomelanus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,1,0,1
Pteropus_conspicillatus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_speciosus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,1,0,0
Pteropus_pohlei_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_admiralitatum_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_tonganus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_pelewensis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_mariannus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_capistratus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_temminckii_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_nitendiensis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_tuberculatus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_samoensis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_rayneri_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_anetianus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_macrotis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_tokudae_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_pelagicus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_molossinus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_gilliardorum_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_mahaganus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Pteropus_woodfordi_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Pteralopex_taki_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Mirimiri_acrodonta_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Desmalopex_microleucopterus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Desmalopex_leucopterus_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,1,0
Melonycteris_melanops_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Melonycteris_woodfordi_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Melonycteris_fardoulisi_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Eidolon_helvum_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Eidolon_dupreanum_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Paranyctimene_raptor_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Nyctimene_major_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Nyctimene_vizcaccia_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Nyctimene_albiventer_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
Nyctimene_cephalotes_PTEROPODIDAE_CHIROPTERA,0,0,0,0,0,0,1
