Name,H,B,C,D,E,F,G
Hipposideros_coronatus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_larvatus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_grandis_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_griffini_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_pendelburyi_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_armiger_HIPPOSIDERIDAE_CHIROPTERA,1,1,0,0,1,1,0
Hipposideros_lekaguli_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_turpis_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,1,0,0
Hipposideros_pratti_HIPPOSIDERIDAE_CHIROPTERA,1,0,0,0,1,1,0
Hipposideros_lylei_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_scutinares_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_alongensis_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_lankadiva_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,1,0,1,0
Hipposideros_pelingensis_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_dinops_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_demissus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_diadema_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,1
Hipposideros_galeritus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,1,0,1,0
Hipposideros_coxi_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_pygmaeus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_cervinus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,1
Hipposideros_ridleyi_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_halophyllus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_ater_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,1
Hipposideros_fulvus_HIPPOSIDERIDAE_CHIROPTERA,1,1,0,1,0,0,0
Hipposideros_dyacorum_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_doriae_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_speoris_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,1,0,0,0
Hipposideros_rotalis_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_khaokhouayensis_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_pomona_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,1,0,0,0
Hipposideros_cineraceus_HIPPOSIDERIDAE_CHIROPTERA,0,1,0,0,0,1,0
Hipposideros_bicolor_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
Hipposideros_fuliginosus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_beatus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_abae_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_caffer_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_lamottei_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_ruber_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_calcaratus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_marisae_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_jonesi_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,0,1
Hipposideros_obscurus_HIPPOSIDERIDAE_CHIROPTERA,0,0,0,0,0,1,0
