Name,H,B,C,D,E,F,G
Rhinolophus_hipposideros_RHINOLOPHIDAE_CHIROPTERA,0,0,1,0,0,0,0
Rhinolophus_xinanzhongguoensis_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,1,0,0
Rhinolophus_ferrumequinum_RHINOLOPHIDAE_CHIROPTERA,1,1,1,0,1,0,0
Rhinolophus_clivosus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_ruwenzorii_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_maclaudi_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_hildebrandtii_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_darlingi_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_fumigatus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_eloquens_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_mossambicus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_blasii_RHINOLOPHIDAE_CHIROPTERA,0,0,1,0,0,0,1
Rhinolophus_mehelyi_RHINOLOPHIDAE_CHIROPTERA,0,0,1,0,0,0,0
Rhinolophus_euryale_RHINOLOPHIDAE_CHIROPTERA,0,0,1,0,0,0,0
Rhinolophus_simulator_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_denti_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_capensis_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_swinnyi_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_landeri_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_alcyone_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_formosae_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,1,0,0
Rhinolophus_sedulus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_trifoliatus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_beddomei_RHINOLOPHIDAE_CHIROPTERA,0,0,0,1,0,0,0
Rhinolophus_luctus_RHINOLOPHIDAE_CHIROPTERA,1,1,0,1,1,1,0
Rhinolophus_yunanensis_RHINOLOPHIDAE_CHIROPTERA,1,0,0,0,0,1,0
Rhinolophus_pearsonii_RHINOLOPHIDAE_CHIROPTERA,1,1,0,0,1,1,0
Rhinolophus_creaghi_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_subrufus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_euryotis_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,1
Rhinolophus_arcuatus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_coelophyllus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_shameli_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_stheno_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_affinis_RHINOLOPHIDAE_CHIROPTERA,1,1,0,0,1,1,0
Rhinolophus_thomasi_RHINOLOPHIDAE_CHIROPTERA,1,0,0,0,0,1,0
Rhinolophus_sinicus_RHINOLOPHIDAE_CHIROPTERA,1,1,0,0,1,1,0
Rhinolophus_rouxii_RHINOLOPHIDAE_CHIROPTERA,0,1,0,1,0,0,0
Rhinolophus_acuminatus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_malayanus_RHINOLOPHIDAE_CHIROPTERA,1,0,0,0,0,1,0
Rhinolophus_chaseni_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_cognatus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_pusillus_RHINOLOPHIDAE_CHIROPTERA,1,1,0,0,1,1,0
Rhinolophus_lepidus_RHINOLOPHIDAE_CHIROPTERA,0,1,0,1,0,1,0
Rhinolophus_megaphyllus_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,0,1
Rhinolophus_philippinensis_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,1
Rhinolophus_virgo_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_celebensis_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_robinsoni_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_borneensis_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_rex_RHINOLOPHIDAE_CHIROPTERA,1,0,0,0,1,1,0
Rhinolophus_macrotis_RHINOLOPHIDAE_CHIROPTERA,1,1,0,0,1,1,0
Rhinolophus_siamensis_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
Rhinolophus_marshalli_RHINOLOPHIDAE_CHIROPTERA,0,0,0,0,0,1,0
