Name,H,B,C,D,E,F,G
Miniopterus_tristis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,1
Miniopterus_fuliginosus_VESPERTILIONIDAE_CHIROPTERA,1,1,1,1,1,1,1
Miniopterus_fuscus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,1,0,0
Miniopterus_magnater_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,1
Miniopterus_pusillus_VESPERTILIONIDAE_CHIROPTERA,1,1,0,1,0,1,0
Miniopterus_macrocneme_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_australis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,1
Miniopterus_medius_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,1
Miniopterus_schreibersii_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Miniopterus_inflatus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_griveaudi_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_petersoni_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_manavi_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_aelleni_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_minor_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_fraterculus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_natalensis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_majori_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_griffithsi_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Miniopterus_gleni_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
