Name,H,B,C,D,E,F,G
Murina_cyclotis_VESPERTILIONIDAE_CHIROPTERA,0,1,0,1,0,1,0
Murina_fionae_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_peninsularis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_aenea_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_suilla_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_florium_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Murina_walstoni_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_tubinaris_VESPERTILIONIDAE_CHIROPTERA,0,1,0,0,0,0,0
Murina_cineracea_VESPERTILIONIDAE_CHIROPTERA,1,0,0,0,0,1,0
Murina_annamitica_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_jaintiana_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_rozendaali_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_pluvialis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_loreliae_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_recondita_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,1,0,0
Murina_gracilis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,1,0,0
Murina_aurata_VESPERTILIONIDAE_CHIROPTERA,1,0,0,0,1,0,0
Murina_eleryi_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_chrysochaetes_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_harpioloides_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_hilgendorfi_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Murina_puta_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,1,0,0
Murina_shuipuensis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,1,0,0
Murina_leucogaster_VESPERTILIONIDAE_CHIROPTERA,1,0,1,0,1,0,0
Murina_bicolor_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,1,0,0
Murina_ryukyuana_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,1,0,0
Murina_ussuriensis_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Murina_tiensa_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Murina_huttoni_VESPERTILIONIDAE_CHIROPTERA,0,1,0,0,1,1,0
