Name,H,B,C,D,E,F,G
Myotis_bocagii_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_welwitschii_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_formosus_VESPERTILIONIDAE_CHIROPTERA,0,1,0,0,1,0,0
Myotis_tricolor_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_emarginatus_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_scotti_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_anjouanensis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_goudoti_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_dasycneme_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_pilosus_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,1,1,0
Myotis_fimbriatus_VESPERTILIONIDAE_CHIROPTERA,1,0,1,0,1,0,0
Myotis_macrodactylus_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_petax_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_daubentonii_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_schaubi_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_escalerai_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_pequinius_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_bombinus_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_chinensis_VESPERTILIONIDAE_CHIROPTERA,1,0,0,0,1,1,0
Myotis_nattereri_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_punicus_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_myotis_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_blythii_VESPERTILIONIDAE_CHIROPTERA,0,1,1,0,0,0,0
Myotis_frater_VESPERTILIONIDAE_CHIROPTERA,1,0,0,0,1,0,0
Myotis_bechsteinii_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_sicarius_VESPERTILIONIDAE_CHIROPTERA,0,1,0,0,0,0,0
Myotis_rosseti_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Myotis_ridleyi_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Myotis_macropus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_adversus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Myotis_macrotarsus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Myotis_hasseltii_VESPERTILIONIDAE_CHIROPTERA,1,0,0,1,0,1,0
Myotis_horsfieldii_VESPERTILIONIDAE_CHIROPTERA,1,0,0,1,0,1,0
Myotis_capaccinii_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_phanluongi_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Myotis_siligorensis_VESPERTILIONIDAE_CHIROPTERA,1,1,0,0,0,1,0
Myotis_davidii_VESPERTILIONIDAE_CHIROPTERA,1,0,1,0,1,1,0
Myotis_laniger_VESPERTILIONIDAE_CHIROPTERA,1,1,1,0,1,1,0
Myotis_longipes_VESPERTILIONIDAE_CHIROPTERA,0,1,0,0,0,0,0
Myotis_montivagus_VESPERTILIONIDAE_CHIROPTERA,1,0,0,0,0,0,0
Myotis_pruinosus_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_yanbarensis_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_secundus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,1,0,0
Myotis_muricola_VESPERTILIONIDAE_CHIROPTERA,1,1,0,0,0,1,0
Myotis_gomantongensis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Myotis_annectans_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,1,0
Myotis_nipalensis_VESPERTILIONIDAE_CHIROPTERA,0,1,1,0,0,0,0
Myotis_altarium_VESPERTILIONIDAE_CHIROPTERA,1,0,0,0,1,1,0
Myotis_ikonnikovi_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_mystacinus_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_alcathoe_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_fortidens_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_grisescens_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_austroriparius_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_atacamensis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_nesopolus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_dominicensis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_martiniquensis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_yumanensis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_velifer_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_albescens_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_nigricans_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_oxyotus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_levis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_chiloensis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_vivesi_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_keaysi_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_ruber_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_simus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_riparius_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_elegans_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_brandtii_VESPERTILIONIDAE_CHIROPTERA,0,0,1,0,0,0,0
Myotis_septentrionalis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_auriculus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_volans_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_sodalis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_thysanodes_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_keenii_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_evotis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_lucifugus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_ciliolabrum_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_leibii_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Myotis_californicus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
