Name,H,B,C,D,E,F,G
Scotophilus_kuhlii_VESPERTILIONIDAE_CHIROPTERA,0,0,0,1,0,1,0
Scotophilus_nux_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_nigrita_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_robustus_VESPERTILIONIDAE_CHIROPTERA,0,0,0,1,0,0,0
Scotophilus_livingstonii_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_ejetai_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_dinganii_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_trujilloi_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_andrewreborii_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_viridis_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_leucogaster_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_tandrefana_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_marovaza_VESPERTILIONIDAE_CHIROPTERA,0,0,0,0,0,0,1
Scotophilus_heathii_VESPERTILIONIDAE_CHIROPTERA,1,1,0,1,0,1,0
