Name,H,B,C,D,E,F,G
Axis_axis,0,0,0,1,0,0,0
Axis_porcinus,0,1,0,1,0,1,0
Rucervus_duvaucelii,0,1,0,1,0,0,0
Cervus_albirostris,1,0,1,0,0,0,0
Cervus_canadensis,0,0,1,0,0,0,1
Cervus_nippon,1,0,1,0,1,0,0
Cervus_elaphus,1,0,1,0,0,0,0
Cervus_hanglu,0,0,1,0,0,0,0
Rusa_timorensis,0,0,0,0,0,1,0
Rusa_unicolor,1,1,0,1,1,1,0
Rusa_alfredi,0,0,0,0,0,1,0
Elaphurus_davidianus,0,0,0,0,1,0,0
Rucervus_eldii,0,0,0,0,0,1,0
Dama_dama,0,0,1,0,0,0,0
Dama_mesopotamica,0,0,1,0,0,0,0
Elaphodus_cephalophus,1,0,0,0,1,0,0
Muntiacus_atherodes,0,0,0,0,0,1,0
Muntiacus_crinifrons,0,0,0,0,1,0,0
Muntiacus_gongshanensis,1,0,0,0,0,0,0
Muntiacus_feae,0,0,0,0,0,1,0
Muntiacus_malabaricus,0,1,0,1,0,1,0
Muntiacus_muntjak,0,0,0,0,0,1,0
Muntiacus_vaginalis,1,1,0,1,1,1,0
Muntiacus_putaoensis,0,0,0,0,0,1,0
Muntiacus_vuquangensis,0,0,0,0,0,1,0
Muntiacus_reevesi,1,0,0,0,1,0,0
Capreolus_capreolus,0,0,1,0,0,0,0
Capreolus_pygargus,1,0,1,0,0,0,0
Hydropotes_inermis,0,0,1,0,1,0,0
Alces_alces,0,0,1,0,0,0,1
Blastocerus_dichotomus,0,0,0,0,0,0,1
Mazama_nemorivaga,0,0,0,0,0,0,1
Hippocamelus_antisensis,0,0,0,0,0,0,1
Mazama_gouazoubira,0,0,0,0,0,0,1
Ozotoceros_bezoarticus,0,0,0,0,0,0,1
Pudu_puda,0,0,0,0,0,0,1
Mazama_americana,0,0,0,0,0,0,1
Mazama_temama,0,0,0,0,0,0,1
Odocoileus_hemionus,0,0,0,0,0,0,1
Odocoileus_virginianus,0,0,0,0,0,0,1
Odocoileus_pandora,0,0,0,0,0,0,1
Mazama_rufina,0,0,0,0,0,0,1
Pudu_mephistophiles,0,0,0,0,0,0,1
Rangifer_tarandus,0,0,1,0,0,0,1
