Name,H,B,C,D,E,F,G
Tragelaphus_imberbis_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Tragelaphus_oryx_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Tragelaphus_derbianus_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Tragelaphus_scriptus_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Tragelaphus_spekii_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Tragelaphus_eurycerus_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Tragelaphus_strepsiceros_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Tragelaphus_angasii_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Pseudoryx_nghetinhensis_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,1,0
Bos_sauveli_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,1,0
Bos_gaurus_BOVIDAE_CETARTIODACTYLA,1,1,0,1,0,1,0
Bos_mutus_BOVIDAE_CETARTIODACTYLA,0,0,1,0,0,0,0
Bison_bison_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Bos_primigenius_BOVIDAE_CETARTIODACTYLA,0,0,1,0,0,0,0
Bos_javanicus_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,1,0
Bison_bonasus_BOVIDAE_CETARTIODACTYLA,0,0,1,0,0,0,0
Syncerus_caffer_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Bubalus_quarlesi_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,1,0
Bubalus_depressicornis_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,1,0
Bubalus_arnee_BOVIDAE_CETARTIODACTYLA,0,0,0,1,0,1,0
Bubalus_mindorensis_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,1,0
Tetracerus_quadricornis_BOVIDAE_CETARTIODACTYLA,0,0,0,1,0,0,0
Boselaphus_tragocamelus_BOVIDAE_CETARTIODACTYLA,0,0,0,1,0,0,0
Raphicerus_melanotis_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Raphicerus_campestris_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Raphicerus_sharpei_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Madoqua_saltiana_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Madoqua_kirkii_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Madoqua_guentheri_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
Dorcatragus_megalotis_BOVIDAE_CETARTIODACTYLA,0,0,0,0,0,0,1
