Name,H,B,C,D,E,F,G
Panthera_tigris_FELIDAE_CARNIVORA,0,1,1,1,1,1,0
Panthera_onca_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Panthera_pardus_FELIDAE_CARNIVORA,1,1,1,1,1,1,1
Panthera_leo_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Panthera_uncia_FELIDAE_CARNIVORA,1,1,1,0,0,0,0
Neofelis_nebulosa_FELIDAE_CARNIVORA,1,1,0,0,1,1,0
Neofelis_diardi_FELIDAE_CARNIVORA,0,0,0,0,0,1,0
Caracal_caracal_FELIDAE_CARNIVORA,0,0,1,1,0,0,1
Caracal_aurata_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Leptailurus_serval_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Otocolobus_manul_FELIDAE_CARNIVORA,1,1,1,0,0,0,0
Leopardus_guigna_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Leopardus_tigrinus_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Leopardus_jacobita_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Leopardus_colocolo_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Leopardus_pardalis_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Leopardus_wiedii_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Felis_silvestris_FELIDAE_CARNIVORA,0,0,1,0,0,0,0
Felis_nigripes_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Felis_margarita_FELIDAE_CARNIVORA,0,0,1,0,0,0,0
Felis_chaus_FELIDAE_CARNIVORA,1,1,1,0,1,1,0
Prionailurus_planiceps_FELIDAE_CARNIVORA,0,0,0,0,0,1,0
Prionailurus_viverrinus_FELIDAE_CARNIVORA,0,0,0,1,0,1,0
Prionailurus_bengalensis_FELIDAE_CARNIVORA,1,1,1,1,1,1,0
Lynx_lynx_FELIDAE_CARNIVORA,1,1,1,0,0,0,0
Lynx_canadensis_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Lynx_pardinus_FELIDAE_CARNIVORA,0,0,1,0,0,0,0
Lynx_rufus_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Pardofelis_marmorata_FELIDAE_CARNIVORA,1,1,0,0,0,1,0
Catopuma_temminckii_FELIDAE_CARNIVORA,1,1,0,0,1,1,0
Catopuma_badia_FELIDAE_CARNIVORA,0,0,0,0,0,1,0
Acinonyx_jubatus_FELIDAE_CARNIVORA,0,0,1,1,0,0,1
Herpailurus_yagouaroundi_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
Puma_concolor_FELIDAE_CARNIVORA,0,0,0,0,0,0,1
