Name,H,B,C,D,E,F,G
Mustela_strigidorsa_MUSTELIDAE_CARNIVORA,1,0,0,0,0,1,0
Mustela_nudipes_MUSTELIDAE_CARNIVORA,0,0,0,0,0,1,0
Mustela_kathiah_MUSTELIDAE_CARNIVORA,1,1,0,0,1,1,0
Mustela_erminea_MUSTELIDAE_CARNIVORA,0,0,1,0,0,0,1
Mustela_itatsi_MUSTELIDAE_CARNIVORA,0,0,1,0,0,0,0
Mustela_sibirica_MUSTELIDAE_CARNIVORA,1,1,1,0,1,0,0
Mustela_lutreola_MUSTELIDAE_CARNIVORA,0,0,1,0,0,0,0
Mustela_putorius_MUSTELIDAE_CARNIVORA,0,0,1,0,0,0,0
Mustela_eversmanii_MUSTELIDAE_CARNIVORA,1,0,1,0,0,0,0
Mustela_nigripes_MUSTELIDAE_CARNIVORA,0,0,0,0,0,0,1
Mustela_nivalis_MUSTELIDAE_CARNIVORA,0,0,1,0,0,0,1
Mustela_altaica_MUSTELIDAE_CARNIVORA,1,1,1,0,0,0,0
