Name,H,B,C,D,E,F,G
Civettictis_civetta,0,0,0,0,0,0,1
Viverra_megaspila,0,0,0,0,0,1,0
Viverra_zibetha,1,1,0,0,1,1,0
Viverra_tangalunga,0,0,0,0,0,1,0
Viverricula_indica,1,1,0,1,1,1,0
Genetta_abyssinica,0,0,0,0,0,0,1
Genetta_angolensis,0,0,0,0,0,0,1
Genetta_bourloni,0,0,0,0,0,0,1
Genetta_poensis,0,0,0,0,0,0,1
Genetta_pardina,0,0,0,0,0,0,1
Genetta_maculata,0,0,0,0,0,0,1
Genetta_tigrina,0,0,0,0,0,0,1
Genetta_genetta,0,0,0,0,0,0,1
Genetta_cristata,0,0,0,0,0,0,1
Genetta_servalina,0,0,0,0,0,0,1
Genetta_felina,0,0,0,0,0,0,1
Genetta_johnstoni,0,0,0,0,0,0,1
Genetta_piscivora,0,0,0,0,0,0,1
Genetta_victoriae,0,0,0,0,0,0,1
Genetta_thierryi,0,0,0,0,0,0,1
Poiana_richardsonii,0,0,0,0,0,0,1
Chrotogale_owstoni,0,0,0,0,0,1,0
Hemigalus_derbyanus,0,0,0,0,0,1,0
Diplogale_hosei,0,0,0,0,0,1,0
Cynogale_bennettii,0,0,0,0,0,1,0
Macrogalidia_musschenbroekii,0,0,0,0,0,1,0
Arctictis_binturong,0,1,0,0,0,1,0
Paguma_larvata,1,1,0,0,1,1,0
Paradoxurus_hermaphroditus,1,1,0,1,0,1,0
Paradoxurus_jerdoni,0,0,0,1,0,0,0
Paradoxurus_zeylonensis,0,0,0,1,0,0,0
