Name,H,B,C,D,E,F,G
Pandion_haliaetus,1,0,1,0,0,0,1
Harpagus_bidentatus,0,0,0,0,0,0,1
Haliaeetus_leucogaster,0,0,0,1,0,1,1
Haliaeetus_sanfordi,0,0,0,0,0,0,1
Ichthyophaga_humilis,0,1,0,0,0,1,0
Ichthyophaga_ichthyaetus,0,0,0,1,0,1,0
Haliaeetus_vocifer,0,0,0,0,0,0,1
Haliaeetus_vociferoides,0,0,0,0,0,0,1
Haliaeetus_pelagicus,0,0,1,0,0,0,0
Haliaeetus_leucoryphus,1,1,1,0,0,0,0
Haliaeetus_albicilla,0,0,1,0,0,0,0
Haliaeetus_leucocephalus,0,0,0,0,0,0,1
Milvus_migrans,1,1,1,1,1,1,1
Milvus_milvus,0,0,1,0,0,0,0
Haliastur_sphenurus,0,0,0,0,0,0,1
Haliastur_indus,0,0,0,1,1,1,1
Butastur_rufipennis,0,0,0,0,0,0,1
Butastur_indicus,0,0,1,0,0,0,0
Butastur_teesa,0,0,0,1,0,1,0
Geranospiza_caerulescens,0,0,0,0,0,0,1
Leucopternis_plumbeus,0,0,0,0,0,0,1
Leucopternis_lacernulatus,0,0,0,0,0,0,1
Buteogallus_meridionalis,0,0,0,0,0,0,1
Buteogallus_urubitinga,0,0,0,0,0,0,1
Harpyhaliaetus_coronatus,0,0,0,0,0,0,1
Harpyhaliaetus_solitarius,0,0,0,0,0,0,1
Leucopternis_schistaceus,0,0,0,0,0,0,1
Buteogallus_aequinoctialis,0,0,0,0,0,0,1
Buteogallus_anthracinus,0,0,0,0,0,0,1
Buteo_magnirostris,0,0,0,0,0,0,1
Parabuteo_unicinctus,0,0,0,0,0,0,1
Buteo_leucorrhous,0,0,0,0,0,0,1
Geranoaetus_melanoleucus,0,0,0,0,0,0,1
Buteo_polyosoma,0,0,0,0,0,0,1
Buteo_albicaudatus,0,0,0,0,0,0,1
Buteo_jamaicensis,0,0,0,0,0,0,1
Buteo_albigula,0,0,0,0,0,0,1
Buteo_swainsoni,0,0,0,0,0,0,1
Buteo_galapagoensis,0,0,0,0,0,0,1
Buteo_brachyurus,0,0,0,0,0,0,1
Buteo_solitarius,0,0,0,0,0,0,1
Buteo_buteo,0,0,1,0,0,0,1
Buteo_oreophilus,0,0,0,0,0,0,1
Buteo_rufinus,0,0,1,0,0,0,0
Buteo_hemilasius,1,1,1,0,0,0,0
Buteo_rufofuscus,0,0,0,0,0,0,1
Buteo_augur,0,0,0,0,0,0,1
Buteo_lagopus,0,0,1,0,0,0,1
Buteo_regalis,0,0,0,0,0,0,1
Buteo_albonotatus,0,0,0,0,0,0,1
Buteo_platypterus,0,0,0,0,0,0,1
Buteo_ridgwayi,0,0,0,0,0,0,1
Buteo_lineatus,0,0,0,0,0,0,1
Leucopternis_melanops,0,0,0,0,0,0,1
Leucopternis_kuhli,0,0,0,0,0,0,1
Leucopternis_semiplumbeus,0,0,0,0,0,0,1
Buteo_nitidus,0,0,0,0,0,0,1
Leucopternis_occidentalis,0,0,0,0,0,0,1
Leucopternis_albicollis,0,0,0,0,0,0,1
Leucopternis_polionotus,0,0,0,0,0,0,1
