Name,H,B,C,D,E,F,G
Coracina_analis,0,0,0,0,0,0,1
Coracina_ostenta,0,0,0,0,0,1,0
Coracina_coerulescens,0,0,0,0,0,1,0
Coracina_montana,0,0,0,0,0,0,1
Coracina_dispar,0,0,0,0,0,0,1
Coracina_dohertyi,0,0,0,0,0,0,1
Coracina_ceramensis,0,0,0,0,0,0,1
Coracina_tenuirostris,0,0,0,0,0,0,1
Coracina_incerta,0,0,0,0,0,0,1
Coracina_morio,0,0,0,0,0,0,1
Coracina_sula,0,0,0,0,0,0,1
Coracina_holopolia,0,0,0,0,0,0,1
Coracina_mindanensis,0,0,0,0,0,1,0
Lalage_leucopyga,0,0,0,0,0,0,1
Lalage_tricolor,0,0,0,0,0,0,1
Lalage_sueurii,0,0,0,0,0,0,1
Lalage_sharpei,0,0,0,0,0,0,1
Lalage_maculosa,0,0,0,0,0,0,1
Lalage_atrovirens,0,0,0,0,0,0,1
Lalage_leucomela,0,0,0,0,0,0,1
Lalage_melanoleuca,0,0,0,0,0,1,0
Lalage_leucopygialis,0,0,0,0,0,0,1
Lalage_nigra,0,0,0,0,0,1,0
Coracina_melanoptera,0,0,0,1,0,0,0
Coracina_polioptera,0,0,0,0,0,1,0
Coracina_fimbriata,0,0,0,0,0,1,0
Coracina_melaschistos,1,1,1,0,1,1,0
Coracina_typica,0,0,0,0,0,0,1
Coracina_newtoni,0,0,0,0,0,0,1
Coracina_azurea,0,0,0,0,0,0,1
Coracina_mcgregori,0,0,0,0,0,1,0
Coracina_abbotti,0,0,0,0,0,0,1
Campochaera_sloetii,0,0,0,0,0,0,1
Campephaga_oriolina,0,0,0,0,0,0,1
Campephaga_petiti,0,0,0,0,0,0,1
Campephaga_flava,0,0,0,0,0,0,1
Campephaga_phoenicea,0,0,0,0,0,0,1
Coracina_pectoralis,0,0,0,0,0,0,1
Coracina_caesia,0,0,0,0,0,0,1
Coracina_graueri,0,0,0,0,0,0,1
Coracina_maxima,0,0,0,0,0,0,1
Coracina_bicolor,0,0,0,0,0,0,1
Coracina_boyeri,0,0,0,0,0,0,1
Coracina_caledonica,0,0,0,0,0,0,1
Coracina_striata,0,0,0,0,0,1,0
Coracina_macei,1,0,0,1,1,1,0
Coracina_larvata,0,0,0,0,0,1,0
Coracina_leucopygia,0,0,0,0,0,0,1
Coracina_schistacea,0,0,0,0,0,0,1
Coracina_papuensis,0,0,0,0,0,0,1
Coracina_atriceps,0,0,0,0,0,0,1
Coracina_novaehollandiae,0,0,0,0,0,0,1
Coracina_lineata,0,0,0,0,0,0,1
Coracina_temminckii,0,0,0,0,0,0,1
Coracina_caeruleogrisea,0,0,0,0,0,0,1
Coracina_longicauda,0,0,0,0,0,0,1
Pericrocotus_flammeus,0,0,0,1,0,0,0
Pericrocotus_roseus,1,1,0,0,0,1,0
Pericrocotus_tegimae,0,0,1,0,0,0,0
Pericrocotus_divaricatus,0,0,1,0,0,0,0
Pericrocotus_cantonensis,1,0,0,0,1,0,0
Pericrocotus_solaris,1,1,0,0,1,1,0
Pericrocotus_brevirostris,1,1,0,0,0,1,0
Pericrocotus_miniatus,0,0,0,0,0,1,0
Pericrocotus_lansbergei,0,0,0,0,0,1,0
Pericrocotus_ethologus,1,1,1,0,0,1,0
Pericrocotus_igneus,0,0,0,0,0,1,0
Pericrocotus_cinnamomeus,0,1,0,1,0,1,0
Pericrocotus_erythropygius,0,0,0,1,0,0,0
