Name,H,B,C,D,E,F,G
Dicrurus_aeneus,1,1,0,1,0,1,0
Dicrurus_macrocercus,1,1,1,1,1,1,0
Dicrurus_adsimilis,0,0,0,0,0,0,1
Dicrurus_modestus,0,0,0,0,0,0,1
Dicrurus_fuscipennis,0,0,0,0,0,0,1
Dicrurus_forficatus,0,0,0,0,0,0,1
Dicrurus_aldabranus,0,0,0,0,0,0,1
Dicrurus_waldenii,0,0,0,0,0,0,1
Dicrurus_leucophaeus,1,1,1,0,1,1,0
Dicrurus_atripennis,0,0,0,0,0,0,1
Dicrurus_ludwigii,0,0,0,0,0,0,1
Dicrurus_paradiseus,0,0,0,1,0,1,0
Dicrurus_annectans,0,1,0,0,0,1,0
Dicrurus_hottentottus,1,1,1,1,1,1,0
Dicrurus_balicassius,0,0,0,0,0,1,0
Dicrurus_bracteatus,0,0,0,0,0,0,1
Dicrurus_megarhynchus,0,0,0,0,0,0,1
Dicrurus_remifer,1,1,0,0,0,1,0
