Name,H,B,C,D,E,F,G
Centropus_rectunguis,0,0,0,0,0,1,0
Centropus_steerii,0,0,0,0,0,1,0
Centropus_melanops,0,0,0,0,0,1,0
Centropus_celebensis,0,0,0,0,0,0,1
Centropus_nigrorufus,0,0,0,0,0,1,0
Centropus_sinensis,1,1,0,1,1,1,0
Centropus_bengalensis,1,1,0,1,1,1,0
Centropus_viridis,0,0,0,0,0,1,0
Centropus_grillii,0,0,0,0,0,0,1
Centropus_bernsteini,0,0,0,0,0,0,1
Centropus_phasianinus,0,0,0,0,0,0,1
Centropus_violaceus,0,0,0,0,0,0,1
Centropus_toulou,0,0,0,0,0,0,1
Centropus_goliath,0,0,0,0,0,0,1
Centropus_leucogaster,0,0,0,0,0,0,1
Centropus_anselli,0,0,0,0,0,0,1
Centropus_senegalensis,0,0,0,0,0,0,1
Centropus_monachus,0,0,0,0,0,0,1
Centropus_cupreicaudus,0,0,0,0,0,0,1
Centropus_superciliosus,0,0,0,0,0,0,1
Centropus_unirufus,0,0,0,0,0,1,0
Centropus_chlororhynchus,0,0,0,1,0,0,0
Centropus_milo,0,0,0,0,0,0,1
Centropus_menbeki,0,0,0,0,0,0,1
Centropus_chalybeus,0,0,0,0,0,0,1
Centropus_ateralbus,0,0,0,0,0,0,1
Carpococcyx_renauldi,0,0,0,0,0,1,0
Coua_verreauxi,0,0,0,0,0,0,1
Coua_cristata,0,0,0,0,0,0,1
Coua_caerulea,0,0,0,0,0,0,1
Coua_serriana,0,0,0,0,0,0,1
Coua_gigas,0,0,0,0,0,0,1
Coua_coquereli,0,0,0,0,0,0,1
Coua_cursor,0,0,0,0,0,0,1
Coua_reynaudii,0,0,0,0,0,0,1
Coua_ruficeps,0,0,0,0,0,0,1
Phaenicophaeus_chlorophaeus,0,0,0,0,0,1,0
Eudynamys_scolopaceus,1,1,0,1,0,1,0
Microdynamis_parva,0,0,0,0,0,0,1
Scythrops_novaehollandiae,0,0,0,0,0,0,1
Eudynamys_taitensis,0,0,0,0,0,0,1
Cercococcyx_olivinus,0,0,0,0,0,0,1
Cercococcyx_montanus,0,0,0,0,0,0,1
Cercococcyx_mechowi,0,0,0,0,0,0,1
Cuculus_fugax,0,0,0,0,0,1,0
Cuculus_varius,0,0,0,1,0,1,0
Cuculus_sparverioides,1,1,1,0,1,1,0
Cuculus_clamosus,0,0,0,0,0,0,1
Cuculus_rochii,0,0,0,0,0,0,1
Cuculus_gularis,0,0,0,0,0,0,1
Cuculus_saturatus,1,1,1,0,1,1,0
Cuculus_canorus,1,1,1,0,1,1,0
Cuculus_vagans,0,0,0,0,0,1,0
Cuculus_micropterus,1,1,1,1,1,1,0
Cuculus_crassirostris,0,0,0,0,0,0,1
Cuculus_poliocephalus,1,1,1,0,1,1,0
Cuculus_solitarius,0,0,0,0,0,0,1
Surniculus_lugubris,1,1,0,0,1,1,0
Surniculus_velutinus,0,0,0,0,0,1,0
Cuculus_pallidus,0,0,0,0,0,0,1
Cacomantis_sonneratii,1,1,0,1,0,1,0
Cacomantis_variolosus,0,0,0,0,0,1,1
Cacomantis_merulinus,1,0,0,0,0,1,0
Cacomantis_flabelliformis,0,0,0,0,0,0,1
Cacomantis_castaneiventris,0,0,0,0,0,0,1
Chrysococcyx_maculatus,1,1,0,0,0,1,0
Chrysococcyx_xanthorhynchus,1,0,0,0,0,1,0
Chrysococcyx_caprius,0,0,0,0,0,0,1
Chrysococcyx_klaas,0,0,0,0,0,0,1
Chrysococcyx_flavigularis,0,0,0,0,0,0,1
Chrysococcyx_cupreus,0,0,0,0,0,0,1
Rhamphomantis_megarhynchus,0,0,0,0,0,0,1
Chrysococcyx_osculans,0,0,0,0,0,0,1
Chrysococcyx_lucidus,0,0,0,0,0,0,1
Chrysococcyx_basalis,0,0,0,0,0,0,1
Chrysococcyx_meyeri,0,0,0,0,0,0,1
