Name,H,B,C,D,E,F,G
Nyctyornis_amictus,0,0,0,0,0,1,0
Merops_bullockoides,0,0,0,0,0,0,1
Merops_bulocki,0,0,0,0,0,0,1
Merops_breweri,0,0,0,0,0,0,1
Meropogon_forsteni,0,0,0,0,0,0,1
Merops_muelleri,0,0,0,0,0,0,1
Merops_gularis,0,0,0,0,0,0,1
Merops_variegatus,0,0,0,0,0,0,1
Merops_pusillus,0,0,0,0,0,0,1
Merops_oreobates,0,0,0,0,0,0,1
Merops_hirundineus,0,0,0,0,0,0,1
Merops_malimbicus,0,0,0,0,0,0,1
Merops_albicollis,0,0,0,0,0,0,1
Merops_viridis,0,0,0,0,0,0,1
Merops_leschenaulti,1,1,0,1,0,1,0
Merops_orientalis,1,0,0,1,0,1,0
Merops_ornatus,0,0,0,0,0,0,1
Merops_philippinus,1,1,0,1,0,1,1
Merops_superciliosus,0,0,0,0,0,0,1
Merops_persicus,0,0,1,0,0,0,0
Merops_apiaster,0,0,1,0,0,0,1
Merops_nubicus,0,0,0,0,0,0,1
Merops_boehmi,0,0,0,0,0,0,1
