Name,H,B,C,D,E,F,G
Micrastur_gilvicollis,0,0,0,0,0,0,1
Micrastur_semitorquatus,0,0,0,0,0,0,1
Herpetotheres_cachinnans,0,0,0,0,0,0,1
Phalcoboenus_megalopterus,0,0,0,0,0,0,1
Phalcoboenus_australis,0,0,0,0,0,0,1
Daptrius_ater,0,0,0,0,0,0,1
Milvago_chimango,0,0,0,0,0,0,1
Milvago_chimachima,0,0,0,0,0,0,1
Ibycter_americanus,0,0,0,0,0,0,1
Caracara_plancus,0,0,0,0,0,0,1
Spiziapteryx_circumcincta,0,0,0,0,0,0,1
Microhierax_erythrogenys,0,0,0,0,0,1,0
Microhierax_caerulescens,0,1,0,0,0,1,0
Polihierax_semitorquatus,0,0,0,0,0,0,1
Falco_naumanni,0,0,1,0,0,0,0
Falco_cenchroides,0,0,0,0,0,0,1
Falco_tinnunculus,1,1,1,1,1,1,1
Falco_punctatus,0,0,0,0,0,0,1
Falco_newtoni,0,0,0,0,0,0,1
Falco_araea,0,0,0,0,0,0,1
Falco_rupicoloides,0,0,0,0,0,0,1
Falco_zoniventris,0,0,0,0,0,0,1
Falco_sparverius,0,0,0,0,0,0,1
Falco_columbarius,0,0,0,0,0,0,1
Falco_longipennis,0,0,0,0,0,0,1
Falco_subbuteo,1,1,1,0,1,0,0
Falco_cuvierii,0,0,0,0,0,0,1
Falco_rufigularis,0,0,0,0,0,0,1
Falco_concolor,0,0,0,0,0,0,1
Falco_eleonorae,0,0,1,0,0,0,0
Falco_deiroleucus,0,0,0,0,0,0,1
Falco_dickinsoni,0,0,0,0,0,0,1
Falco_vespertinus,0,0,1,0,0,0,0
Falco_amurensis,0,0,1,0,0,0,0
Falco_mexicanus,0,0,0,0,0,0,1
Falco_peregrinus,0,0,1,0,0,0,1
Falco_jugger,0,0,0,1,0,0,0
Falco_rusticolus,0,0,1,0,0,0,1
Falco_subniger,0,0,0,0,0,0,1
Falco_cherrug,1,0,1,0,0,0,0
Falco_biarmicus,0,0,1,0,0,0,1
Falco_berigora,0,0,0,0,0,0,1
Falco_chicquera,0,0,0,1,0,0,0
Falco_femoralis,0,0,0,0,0,0,1
Falco_novaeseelandiae,0,0,0,0,0,0,1
