Name,H,B,C,D,E,F,G
Phylloscopus_coronatus,0,0,1,0,0,0,0
Phylloscopus_ijimae,0,0,1,0,0,0,0
Phylloscopus_cebuensis,0,0,0,0,0,1,0
Phylloscopus_olivaceus,0,0,0,0,0,1,0
Phylloscopus_laetus,0,0,0,0,0,0,1
Phylloscopus_umbrovirens,0,0,0,0,0,0,1
Phylloscopus_ruficapilla,0,0,0,0,0,0,1
Seicercus_poliogenys,1,1,0,0,0,1,0
Seicercus_affinis,1,1,0,0,1,1,0
Seicercus_burkii,0,1,0,0,0,0,0
Seicercus_tephrocephalus,1,0,0,0,1,1,0
Seicercus_omeiensis,1,0,0,0,1,0,0
Seicercus_soror,1,0,0,0,1,0,0
Seicercus_whistleri,0,1,0,0,0,0,0
Seicercus_valentini,1,0,0,0,1,1,0
Seicercus_grammiceps,0,0,0,0,0,1,0
Seicercus_castaniceps,1,1,0,0,1,1,0
Seicercus_montis,0,0,0,0,0,1,0
Phylloscopus_sarasinorum,0,0,0,0,0,0,1
Phylloscopus_amoenus,0,0,0,0,0,0,1
Phylloscopus_poliocephalus,0,0,0,0,0,0,1
Phylloscopus_presbytes,0,0,0,0,0,0,1
Phylloscopus_trivirgatus,0,0,0,0,0,1,0
Phylloscopus_davisoni,1,0,0,0,0,1,0
Phylloscopus_xanthoschistos,0,1,0,0,0,0,0
Phylloscopus_hainanus,0,0,0,0,0,1,0
Phylloscopus_ogilviegranti,1,0,0,0,0,1,0
Phylloscopus_cantator,1,1,0,0,0,1,0
Phylloscopus_ricketti,1,0,0,0,1,0,0
Phylloscopus_claudiae,0,0,1,0,1,0,0
Phylloscopus_reguloides,1,1,0,0,0,1,0
Phylloscopus_occipitalis,0,1,0,0,0,0,0
Phylloscopus_goodsoni,0,0,0,0,1,1,0
Phylloscopus_emeiensis,1,0,0,0,0,0,0
Phylloscopus_borealoides,0,0,1,0,0,0,0
Phylloscopus_tenellipes,0,0,1,0,0,0,0
Phylloscopus_magnirostris,1,1,0,0,0,0,0
Phylloscopus_borealis,0,0,1,0,0,0,0
Phylloscopus_trochiloides,1,1,1,0,0,0,0
Phylloscopus_nitidus,0,0,1,0,0,0,0
Phylloscopus_sibilatrix,0,0,1,0,0,0,0
Phylloscopus_orientalis,0,0,1,0,0,0,0
Phylloscopus_bonelli,0,0,1,0,0,0,0
Phylloscopus_fuscatus,1,0,1,0,0,0,0
Phylloscopus_fuligiventer,1,1,1,0,0,0,0
Phylloscopus_sindianus,0,0,1,0,0,0,0
Phylloscopus_canariensis,0,0,0,0,0,0,1
Phylloscopus_collybita,0,0,1,0,0,0,0
Phylloscopus_trochilus,0,0,1,0,0,0,0
Phylloscopus_subaffinis,1,0,1,0,1,0,0
Phylloscopus_affinis,1,1,1,0,0,0,0
Phylloscopus_griseolus,0,0,1,0,0,0,0
Phylloscopus_armandii,1,0,1,0,0,0,0
Phylloscopus_schwarzi,0,0,1,0,0,0,0
Phylloscopus_tytleri,0,0,1,0,0,0,0
Phylloscopus_maculipennis,1,1,0,0,0,1,0
Phylloscopus_pulcher,1,1,0,0,0,0,0
Phylloscopus_yunnanensis,1,0,1,0,0,0,0
Phylloscopus_chloronotus,1,1,0,0,0,0,0
Phylloscopus_forresti,1,0,0,0,0,0,0
Phylloscopus_proregulus,0,0,1,0,0,0,0
Phylloscopus_kansuensis,0,0,1,0,0,0,0
Phylloscopus_inornatus,0,0,1,0,0,0,0
Phylloscopus_humei,1,1,1,0,0,0,0
