Name,H,B,C,D,E,F,G
Prionochilus_olivaceus,0,0,0,0,0,1,0
Dicaeum_nigrilore,0,0,0,0,0,1,0
Dicaeum_hypoleucum,0,0,0,0,0,1,0
Dicaeum_australe,0,0,0,0,0,1,0
Dicaeum_trigonostigma,0,0,0,0,0,1,0
Dicaeum_celebicum,0,0,0,0,0,1,0
Dicaeum_ignipectus,1,1,0,0,1,1,0
Dicaeum_geelvinkianum,0,0,0,0,0,0,1
Dicaeum_pectorale,0,0,0,0,0,0,1
Dicaeum_hirundinaceum,0,0,0,0,0,0,1
Dicaeum_eximium,0,0,0,0,0,0,1
Dicaeum_aeneum,0,0,0,0,0,0,1
Dicaeum_monticolum,0,0,0,0,0,1,0
Dicaeum_tristrami,0,0,0,0,0,0,1
Dicaeum_sanguinolentum,0,0,0,0,0,1,0
Dicaeum_cruentatum,0,1,0,0,1,1,0
Dicaeum_igniferum,0,0,0,0,0,1,0
Dicaeum_pygmaeum,0,0,0,0,0,1,0
Dicaeum_concolor,0,0,0,1,0,0,0
Dicaeum_bicolor,0,0,0,0,0,1,0
Dicaeum_anthonyi,0,0,0,0,0,1,0
Dicaeum_aureolimbatum,0,0,0,0,0,0,1
Prionochilus_maculatus,0,0,0,0,0,1,0
Prionochilus_thoracicus,0,0,0,0,0,1,0
Prionochilus_plateni,0,0,0,0,0,1,0
Prionochilus_xanthopygius,0,0,0,0,0,1,0
Prionochilus_percussus,0,0,0,0,0,1,0
Dicaeum_chrysorrheum,1,1,0,0,0,1,0
Dicaeum_melanoxanthum,1,1,0,0,0,1,0
Dicaeum_everetti,0,0,0,0,0,1,0
Dicaeum_agile,0,0,0,1,0,1,0
