Name,H,B,C,D,E,F,G
Emberiza_elegans,1,0,1,0,1,0,0
Latoucheornis_siemsseni,1,0,0,0,1,0,0
Emberiza_fucata,1,1,1,0,0,0,0
Emberiza_chrysophrys,0,0,1,0,0,0,0
Emberiza_tristrami,0,0,1,0,0,0,0
Emberiza_variabilis,0,0,1,0,0,0,0
Emberiza_rutila,0,0,1,0,0,0,0
Emberiza_pusilla,0,0,1,0,0,0,0
Emberiza_aureola,0,0,1,0,0,0,0
Emberiza_spodocephala,1,0,1,0,0,0,0
Emberiza_sulphurata,0,0,1,0,0,0,0
Emberiza_rustica,0,0,1,0,0,0,0
Emberiza_pallasi,0,0,1,0,0,0,0
Emberiza_schoeniclus,0,0,1,0,0,0,0
Emberiza_yessoensis,0,0,1,0,0,0,0
Emberiza_bruniceps,0,0,1,0,0,0,0
Emberiza_melanocephala,0,0,1,0,0,0,0
Melophus_lathami,1,1,0,1,1,1,0
Miliaria_calandra,0,0,1,0,0,0,0
Emberiza_jankowskii,0,0,1,0,0,0,0
Emberiza_cioides,1,0,1,0,0,0,0
Emberiza_godlewskii,1,0,1,0,0,0,0
Emberiza_cia,0,1,1,0,0,0,0
Emberiza_buchanani,0,0,1,0,0,0,0
Emberiza_caesia,0,0,1,0,0,0,0
Emberiza_hortulana,0,0,1,0,0,0,0
Emberiza_cirlus,0,0,1,0,0,0,0
Emberiza_leucocephalos,0,0,1,0,0,0,0
Emberiza_citrinella,0,0,1,0,0,0,0
Emberiza_stewarti,0,0,1,0,0,0,0
Emberiza_striolata,0,0,0,0,0,0,1
Emberiza_tahapisi,0,0,0,0,0,0,1
Emberiza_impetuani,0,0,0,0,0,0,1
Emberiza_capensis,0,0,0,0,0,0,1
Emberiza_flaviventris,0,0,0,0,0,0,1
Emberiza_cabanisi,0,0,0,0,0,0,1
