Name,H,B,C,D,E,F,G
Alethe_diademata,0,0,0,0,0,0,1
Erythropygia_galactotes,0,0,1,0,0,0,0
Cercotrichas_podobe,0,0,0,0,0,0,1
Erythropygia_hartlaubi,0,0,0,0,0,0,1
Erythropygia_leucophrys,0,0,0,0,0,0,1
Erythropygia_paena,0,0,0,0,0,0,1
Copsychus_luzoniensis,0,0,0,0,0,1,0
Copsychus_niger,0,0,0,0,0,1,0
Copsychus_cebuensis,0,0,0,0,0,1,0
Copsychus_malabaricus,1,1,0,1,0,1,0
Copsychus_stricklandii,0,0,0,0,0,1,0
Trichixos_pyrropygus,0,0,0,0,0,1,0
Copsychus_sechellarum,0,0,0,0,0,0,1
Cyornis_hainanus,0,0,0,0,0,1,0
Copsychus_saularis,1,1,0,1,1,1,0
Copsychus_albospecularis,0,0,0,0,0,0,1
Saxicoloides_fulicatus,0,0,0,1,0,0,0
Erythropygia_coryphaeus,0,0,0,0,0,0,1
Erythropygia_leucosticta,0,0,0,0,0,0,1
Erythropygia_quadrivirgata,0,0,0,0,0,0,1
Erythropygia_barbata,0,0,0,0,0,0,1
Bradornis_microrhynchus,0,0,0,0,0,0,1
Muscicapa_infuscata,0,0,0,0,0,0,1
Bradornis_infuscatus,0,0,0,0,0,0,1
Bradornis_pallidus,0,0,0,0,0,0,1
Melaenornis_edolioides,0,0,0,0,0,0,1
Bradornis_mariquensis,0,0,0,0,0,0,1
Sigelus_silens,0,0,0,0,0,0,1
Empidornis_semipartitus,0,0,0,0,0,0,1
Namibornis_herero,0,0,0,0,0,0,1
Fraseria_ocreata,0,0,0,0,0,0,1
Myioparus_plumbeus,0,0,0,0,0,0,1
Fraseria_cinerascens,0,0,0,0,0,0,1
Muscicapa_caerulescens,0,0,0,0,0,0,1
Muscicapa_olivascens,0,0,0,0,0,0,1
Muscicapa_sethsmithi,0,0,0,0,0,0,1
Muscicapa_adusta,0,0,0,0,0,0,1
Muscicapa_striata,0,0,1,0,0,0,0
Muscicapa_gambagae,0,0,0,0,0,0,1
Muscicapa_aquatica,0,0,0,0,0,0,1
Muscicapa_cassini,0,0,0,0,0,0,1
Muscicapa_sibirica,1,1,1,0,0,0,0
Muscicapa_ferruginea,1,1,0,0,1,0,0
Muscicapa_muttui,1,0,0,0,1,1,0
Muscicapa_dauurica,0,0,1,1,1,1,0
Muscicapa_griseisticta,0,0,1,0,0,0,0
Ficedula_nigrorufa,0,0,0,1,0,0,0
Eumyias_indigo,0,0,0,0,0,1,0
Eumyias_thalassinus,1,1,0,0,1,1,0
Eumyias_panayensis,0,0,0,0,0,1,0
Rhinomyias_additus,0,0,0,0,0,0,1
Cyanoptila_cyanomelana,0,0,1,0,0,0,0
Niltava_vivida,0,0,0,0,1,0,0
Niltava_grandis,1,1,0,0,0,1,0
Niltava_macgrigoriae,1,1,0,0,0,1,0
Niltava_sundara,1,1,0,0,0,1,0
Niltava_davidi,1,0,0,0,1,1,0
Ficedula_monileger,0,1,0,0,0,1,0
Cyornis_banyumas,0,0,0,0,0,1,0
Rhinomyias_olivaceus,0,0,0,0,0,1,0
Cyornis_poliogenys,0,1,0,0,0,1,0
Cyornis_rufigastra,0,0,0,0,0,1,0
Rhinomyias_umbratilis,0,0,0,0,0,1,0
Rhinomyias_ruficauda,0,0,0,0,0,1,0
Cyornis_rubeculoides,1,1,0,0,0,1,0
Cyornis_unicolor,1,1,0,0,0,1,0
Cyornis_concretus,0,0,0,0,0,1,0
Myiomela_albiventris,0,0,0,1,0,0,0
Ficedula_disposita,0,0,0,0,0,1,0
Erithacus_rubecula,0,0,1,0,0,0,0
Stiphrornis_erythrothorax,0,0,0,0,0,0,1
Cossyphicula_roberti,0,0,0,0,0,0,1
Cichladusa_guttata,0,0,0,0,0,0,1
Cossypha_isabellae,0,0,0,0,0,0,1
Swynnertonia_swynnertoni,0,0,0,0,0,0,1
Pogonocichla_stellata,0,0,0,0,0,0,1
Alethe_poliophrys,0,0,0,0,0,0,1
Alethe_choloensis,0,0,0,0,0,0,1
Alethe_fuelleborni,0,0,0,0,0,0,1
Alethe_poliocephala,0,0,0,0,0,0,1
Cossypha_heuglini,0,0,0,0,0,0,1
Cossypha_semirufa,0,0,0,0,0,0,1
Cossypha_niveicapilla,0,0,0,0,0,0,1
Cossypha_dichroa,0,0,0,0,0,0,1
Cossypha_albicapilla,0,0,0,0,0,0,1
Cossypha_cyanocampter,0,0,0,0,0,0,1
Cossypha_humeralis,0,0,0,0,0,0,1
Cossypha_archeri,0,0,0,0,0,0,1
Cossypha_caffra,0,0,0,0,0,0,1
Cossypha_anomala,0,0,0,0,0,0,1
Sheppardia_sharpei,0,0,0,0,0,0,1
Sheppardia_gunningi,0,0,0,0,0,0,1
Cossypha_polioptera,0,0,0,0,0,0,1
Sheppardia_bocagei,0,0,0,0,0,0,1
Sheppardia_aequatorialis,0,0,0,0,0,0,1
Sheppardia_gabela,0,0,0,0,0,0,1
Sheppardia_cyornithopsis,0,0,0,0,0,0,1
Sheppardia_aurantiithorax,0,0,0,0,0,0,1
Sheppardia_lowei,0,0,0,0,0,0,1
Sheppardia_montana,0,0,0,0,0,0,1
Luscinia_luscinia,0,0,1,0,0,0,0
Luscinia_megarhynchos,0,0,1,0,0,0,0
Luscinia_svecica,0,0,1,0,0,0,0
Hodgsonius_phaenicuroides,1,1,1,0,0,0,0
Irania_gutturalis,0,0,1,0,0,0,0
Rhyacornis_fuliginosa,1,1,1,0,1,1,0
Rhyacornis_bicolor,0,0,0,0,0,1,0
Chaimarrornis_leucocephalus,1,1,1,0,1,1,0
Phoenicurus_erythrogastrus,1,1,1,0,0,0,0
Phoenicurus_hodgsoni,1,1,1,0,0,0,0
Phoenicurus_phoenicurus,0,0,1,0,0,0,0
Phoenicurus_moussieri,0,0,0,0,0,0,1
Phoenicurus_auroreus,1,0,1,0,0,0,0
Phoenicurus_ochruros,1,1,1,0,0,0,0
Phoenicurus_frontalis,1,1,1,0,0,0,0
Phoenicurus_caeruleocephala,0,1,1,0,0,0,0
Phoenicurus_schisticeps,1,1,1,0,0,0,0
Phoenicurus_erythronotus,0,0,1,0,0,0,0
Myrmecocichla_semirufa,0,0,0,0,0,0,1
Monticola_rupestris,0,0,0,0,0,0,1
Monticola_angolensis,0,0,0,0,0,0,1
Monticola_saxatilis,0,0,1,0,0,0,0
Monticola_solitarius,1,1,1,0,1,1,0
Monticola_explorator,0,0,0,0,0,0,1
Monticola_sharpei,0,0,0,0,0,0,1
Monticola_erythronotus,0,0,0,0,0,0,1
Monticola_imerinus,0,0,0,0,0,0,1
Monticola_brevipes,0,0,0,0,0,0,1
Monticola_cinclorhynchus,0,1,0,0,0,0,0
Monticola_rufiventris,1,1,0,0,1,1,0
Monticola_gularis,0,0,1,0,0,0,0
Myrmecocichla_albifrons,0,0,0,0,0,0,1
Cercomela_tractrac,0,0,0,0,0,0,1
Cercomela_sinuata,0,0,0,0,0,0,1
Cercomela_schlegelii,0,0,0,0,0,0,1
Oenanthe_bifasciata,0,0,0,0,0,0,1
Cercomela_sordida,0,0,0,0,0,0,1
Myrmecocichla_cinnamomeiventris,0,0,0,0,0,0,1
Myrmecocichla_aethiops,0,0,0,0,0,0,1
Myrmecocichla_nigra,0,0,0,0,0,0,1
Oenanthe_monticola,0,0,0,0,0,0,1
Myrmecocichla_arnoti,0,0,0,0,0,0,1
Myrmecocichla_melaena,0,0,0,0,0,0,1
Oenanthe_moesta,0,0,1,0,0,0,0
Cercomela_fusca,0,0,0,1,0,0,0
Oenanthe_picata,0,0,1,0,0,0,0
Oenanthe_leucopyga,0,0,1,0,0,0,0
Oenanthe_leucura,0,0,1,0,0,0,0
Oenanthe_xanthoprymna,0,0,1,0,0,0,0
Oenanthe_chrysopygia,0,0,1,0,0,0,0
Oenanthe_lugens,0,0,1,0,0,0,0
Oenanthe_finschii,0,0,1,0,0,0,0
Oenanthe_albonigra,0,0,1,0,0,0,0
Cercomela_familiaris,0,0,0,0,0,0,1
Cercomela_melanura,0,0,0,0,0,0,1
Cercomela_dubia,0,0,0,0,0,0,1
Cercomela_scotocerca,0,0,0,0,0,0,1
Oenanthe_phillipsi,0,0,0,0,0,0,1
Oenanthe_pileata,0,0,0,0,0,0,1
Oenanthe_isabellina,0,0,1,0,0,0,0
Oenanthe_bottae,0,0,0,0,0,0,1
Oenanthe_oenanthe,0,0,1,0,0,0,1
Oenanthe_monacha,0,0,0,0,0,0,1
Oenanthe_deserti,0,0,1,0,0,0,1
Oenanthe_cypriaca,0,0,0,0,0,0,1
Oenanthe_pleschanka,0,0,1,0,0,0,0
Oenanthe_hispanica,0,0,1,0,0,0,0
Saxicola_gutturalis,0,0,0,0,0,0,1
Saxicola_jerdoni,0,0,0,0,0,1,0
Saxicola_ferreus,1,1,0,0,1,1,0
Saxicola_leucurus,0,1,0,0,0,1,0
Saxicola_tectes,0,0,0,0,0,0,1
Saxicola_torquatus,0,0,0,0,0,0,1
Saxicola_dacotiae,0,0,0,0,0,0,1
Saxicola_insignis,0,0,1,0,0,0,0
Saxicola_caprata,1,1,1,1,0,1,0
Saxicola_rubetra,0,0,1,0,0,0,0
Luscinia_pectoralis,0,1,1,0,0,0,0
Luscinia_calliope,0,0,1,0,0,0,0
Enicurus_maculatus,1,1,0,0,0,1,0
Enicurus_leschenaulti,1,1,0,0,1,1,0
Enicurus_ruficapillus,0,0,0,0,0,1,0
Enicurus_scouleri,1,1,0,0,1,1,0
Enicurus_schistaceus,1,1,0,0,1,1,0
Myophonus_melanurus,0,0,0,0,0,1,0
Myophonus_glaucinus,0,0,0,0,0,1,0
Myophonus_caeruleus,1,1,1,0,1,1,0
Cinclidium_frontale,1,1,0,0,0,1,0
Tarsiger_hyperythrus,1,1,0,0,0,0,0
Tarsiger_cyanurus,0,0,1,0,0,0,0
Tarsiger_chrysaeus,1,1,0,0,0,1,0
Tarsiger_johnstoniae,0,0,0,0,1,0,0
Tarsiger_indicus,1,1,0,0,1,0,0
Cinclidium_leucurum,1,1,0,0,1,1,0
Cinclidium_diana,0,0,0,0,0,1,0
Heinrichia_calligyna,0,0,0,0,0,0,1
Rhinomyias_insignis,0,0,0,0,0,1,0
Brachypteryx_leucophrys,1,1,0,0,1,1,0
Brachypteryx_montana,0,0,0,0,0,1,0
Luscinia_cyane,0,0,1,0,0,0,0
Luscinia_brunnea,1,1,0,0,0,0,0
Luscinia_pectardens,1,0,1,0,0,0,0
Erithacus_komadori,0,0,1,0,0,0,0
Erithacus_akahige,0,0,1,0,0,0,0
Luscinia_sibilans,0,0,1,0,0,0,0
Ficedula_hyperythra,1,1,0,0,0,1,0
Ficedula_hodgsonii,1,1,0,0,0,0,0
Ficedula_mugimaki,0,0,1,0,0,0,0
Ficedula_strophiata,1,1,0,0,0,1,0
Ficedula_rufigula,0,0,0,0,0,1,0
