Name,H,B,C,D,E,F,G
Sylviparus_modestus,1,1,0,0,1,1,0
Pseudopodoces_humilis,1,1,1,0,0,0,0
Parus_caeruleus,0,0,1,0,0,0,0
Parus_cyanus,0,0,1,0,0,0,0
Melanochlora_sultanea,0,1,0,0,0,1,0
Baeolophus_wollweberi,0,0,0,0,0,0,1
Baeolophus_bicolor,0,0,0,0,0,0,1
Baeolophus_atricristatus,0,0,0,0,0,0,1
Baeolophus_ridgwayi,0,0,0,0,0,0,1
Baeolophus_inornatus,0,0,0,0,0,0,1
Parus_dichrous,1,1,1,0,0,0,0
Parus_cristatus,0,0,1,0,0,0,0
Parus_superciliosus,1,0,1,0,0,0,0
Parus_lugubris,0,0,1,0,0,0,0
Parus_montanus,0,0,1,0,0,0,0
Parus_davidi,1,0,0,0,0,0,0
Parus_sclateri,0,0,0,0,0,0,1
Parus_carolinensis,0,0,0,0,0,0,1
Parus_cinctus,0,0,1,0,0,0,0
Parus_hudsonicus,0,0,0,0,0,0,1
Parus_rufescens,0,0,0,0,0,0,1
Parus_gambeli,0,0,0,0,0,0,1
Parus_atricapillus,0,0,0,0,0,0,1
Parus_varius,0,0,1,0,0,0,0
Parus_rufonuchalis,0,1,1,0,0,0,0
Parus_rubidiventris,1,1,1,0,0,0,0
Parus_ater,1,1,1,0,0,0,0
Parus_elegans,0,0,0,0,0,1,0
Parus_amabilis,0,0,0,0,0,1,0
Parus_venustulus,1,0,1,0,1,0,0
Parus_rufiventris,0,0,0,0,0,0,1
Parus_albiventris,0,0,0,0,0,0,1
Parus_niger,0,0,0,0,0,0,1
Parus_funereus,0,0,0,0,0,0,1
Parus_afer,0,0,0,0,0,0,1
Parus_fasciiventer,0,0,0,0,0,0,1
Parus_xanthogenys,0,1,0,1,0,0,0
Parus_spilonotus,1,1,0,0,1,1,0
Parus_holsti,0,0,0,0,1,0,0
Parus_palustris,0,0,1,0,0,0,0
Parus_major,0,0,1,0,0,0,0
Parus_monticolus,1,1,1,0,1,1,0
