Name,H,B,C,D,E,F,G
Cinnyricinclus_leucogaster,0,0,0,0,0,0,1
Saroglossa_aurata,0,0,0,0,0,0,1
Leucopsar_rothschildi,0,0,0,0,0,1,0
Sturnus_sinensis,0,0,0,0,1,1,0
Sturnus_pagodarum,0,0,0,1,0,0,0
Sturnus_malabaricus,1,1,0,1,0,1,0
Sturnus_erythropygius,0,0,0,0,0,1,0
Sturnus_albofrontatus,0,0,0,1,0,0,0
Sturnus_cineraceus,0,0,1,0,0,0,0
Sturnus_sericeus,1,0,1,0,1,1,0
Acridotheres_cristatellus,1,0,1,0,1,1,0
Acridotheres_grandis,1,0,0,0,0,1,0
Acridotheres_albocinctus,1,0,0,0,0,1,0
Acridotheres_fuscus,0,1,0,1,0,1,0
Acridotheres_cinereus,0,0,0,0,0,1,0
Sturnus_melanopterus,0,0,0,0,0,1,0
Sturnus_burmannicus,0,0,0,0,0,1,0
Acridotheres_tristis,1,1,1,1,0,1,0
Acridotheres_ginginianus,0,0,0,1,0,0,0
Sturnus_sturninus,0,0,1,0,0,0,0
Sturnus_philippensis,0,0,1,0,0,0,0
Sturnus_contra,0,0,0,1,0,1,0
Sturnus_nigricollis,1,0,0,0,1,1,0
Creatophora_cinerea,0,0,0,0,0,0,1
Sturnus_roseus,0,0,1,0,0,0,0
Sturnus_vulgaris,0,0,1,0,0,0,0
Sturnus_unicolor,0,0,1,0,0,0,0
Lamprotornis_corruscus,0,0,0,0,0,0,1
Neocichla_gutturalis,0,0,0,0,0,0,1
Saroglossa_spiloptera,0,0,1,0,0,0,0
Cinnyricinclus_femoralis,0,0,0,0,0,0,1
Cinnyricinclus_sharpii,0,0,0,0,0,0,1
Poeoptera_lugubris,0,0,0,0,0,0,1
Poeoptera_kenricki,0,0,0,0,0,0,1
Poeoptera_stuhlmanni,0,0,0,0,0,0,1
Grafisia_torquata,0,0,0,0,0,0,1
Speculipastor_bicolor,0,0,0,0,0,0,1
Coccycolius_iris,0,0,0,0,0,0,1
Lamprotornis_chloropterus,0,0,0,0,0,0,1
Lamprotornis_acuticaudus,0,0,0,0,0,0,1
Lamprotornis_purpureus,0,0,0,0,0,0,1
Lamprotornis_nitens,0,0,0,0,0,0,1
Lamprotornis_chalcurus,0,0,0,0,0,0,1
Lamprotornis_chalybaeus,0,0,0,0,0,0,1
Lamprotornis_ornatus,0,0,0,0,0,0,1
Lamprotornis_splendidus,0,0,0,0,0,0,1
Spreo_bicolor,0,0,0,0,0,0,1
Lamprotornis_superbus,0,0,0,0,0,0,1
Lamprotornis_pulcher,0,0,0,0,0,0,1
Spreo_albicapillus,0,0,0,0,0,0,1
Spreo_fischeri,0,0,0,0,0,0,1
Cosmopsarus_regius,0,0,0,0,0,0,1
Lamprotornis_purpuroptera,0,0,0,0,0,0,1
Lamprotornis_caudatus,0,0,0,0,0,0,1
Cosmopsarus_unicolor,0,0,0,0,0,0,1
Lamprotornis_mevesii,0,0,0,0,0,0,1
Lamprotornis_australis,0,0,0,0,0,0,1
Lamprotornis_shelleyi,0,0,0,0,0,0,1
Lamprotornis_hildebrandti,0,0,0,0,0,0,1
Lamprotornis_cupreocauda,0,0,0,0,0,0,1
Lamprotornis_purpureiceps,0,0,0,0,0,0,1
Onychognathus_morio,0,0,0,0,0,0,1
Onychognathus_salvadorii,0,0,0,0,0,0,1
Onychognathus_frater,0,0,0,0,0,0,1
Onychognathus_blythii,0,0,0,0,0,0,1
Onychognathus_tristramii,0,0,0,0,0,0,1
Onychognathus_albirostris,0,0,0,0,0,0,1
Onychognathus_walleri,0,0,0,0,0,0,1
Onychognathus_fulgidus,0,0,0,0,0,0,1
Onychognathus_nabouroup,0,0,0,0,0,0,1
Onychognathus_tenuirostris,0,0,0,0,0,0,1
Rhabdornis_mystacalis,0,0,0,0,0,1,0
Rhabdornis_inornatus,0,0,0,0,0,1,0
Enodes_erythrophris,0,0,0,0,0,0,1
Scissirostrum_dubium,0,0,0,0,0,0,1
Aplonis_grandis,0,0,0,0,0,0,1
Aplonis_metallica,0,0,0,0,0,0,1
Aplonis_pelzelni,0,0,0,0,0,0,1
Aplonis_brunneicapillus,0,0,0,0,0,0,1
Aplonis_tabuensis,0,0,0,0,0,0,1
Aplonis_cinerascens,0,0,0,0,0,0,1
Aplonis_insularis,0,0,0,0,0,0,1
Aplonis_cantoroides,0,0,0,0,0,0,1
Aplonis_panayensis,0,0,0,0,0,0,1
Aplonis_minor,0,0,0,0,0,0,1
Mino_dumontii,0,0,0,0,0,0,1
Mino_anais,0,0,0,0,0,0,1
Basilornis_celebensis,0,0,0,0,0,0,1
Gracula_religiosa,0,0,0,1,0,0,0
Gracula_ptilogenys,0,0,0,1,0,0,0
Ampeliceps_coronatus,0,0,0,0,0,1,0
Streptocitta_albicollis,0,0,0,0,0,0,1
Sarcops_calvus,0,0,0,0,0,1,0
Basilornis_mirandus,0,0,0,0,0,1,0
