Name,H,B,C,D,E,F,G
Lanius_excubitoroides,0,0,0,0,0,0,1
Lanius_isabellinus,0,0,1,0,0,0,0
Lanius_collurio,0,0,1,0,0,0,0
Lanius_schach,1,1,1,1,1,1,0
Lanius_bucephalus,0,0,1,0,0,0,0
Lanius_tephronotus,1,1,1,0,0,0,0
Lanius_cristatus,1,0,1,0,1,0,0
Lanius_tigrinus,0,0,1,0,0,0,0
Lanius_nubicus,0,0,1,0,0,0,0
Lanius_minor,0,0,1,0,0,0,0
Lanius_senator,0,0,1,0,0,0,0
Lanius_mackinnoni,0,0,0,0,0,0,1
Lanius_collaris,0,0,0,0,0,0,1
Lanius_dorsalis,0,0,0,0,0,0,1
Lanius_somalicus,0,0,0,0,0,0,1
Lanius_meridionalis,0,0,1,0,0,0,0
Lanius_ludovicianus,0,0,0,0,0,0,1
Lanius_sphenocercus,1,0,1,0,0,0,0
Lanius_excubitor,0,0,1,1,0,0,0
Lanius_cabanisi,0,0,0,0,0,0,1
