Name,H,B,C,D,E,F,G
Oriolus_mellianus,1,0,0,0,1,0,0
Oriolus_sagittatus,0,0,0,0,0,0,1
Oriolus_flavocinctus,0,0,0,0,0,0,1
Oriolus_melanotis,0,0,0,0,0,0,1
Oriolus_szalayi,0,0,0,0,0,0,1
Oriolus_bouroensis,0,0,0,0,0,0,1
Oriolus_forsteni,0,0,0,0,0,0,1
Oriolus_phaeochromus,0,0,0,0,0,0,1
Oriolus_auratus,0,0,0,0,0,0,1
Oriolus_oriolus,0,0,1,0,0,0,0
Oriolus_chinensis,1,0,1,0,1,1,0
Oriolus_monacha,0,0,0,0,0,0,1
Oriolus_nigripennis,0,0,0,0,0,0,1
Oriolus_percivali,0,0,0,0,0,0,1
Oriolus_larvatus,0,0,0,0,0,0,1
Oriolus_brachyrhynchus,0,0,0,0,0,0,1
Oriolus_chlorocephalus,0,0,0,0,0,0,1
Oriolus_xanthornus,0,0,0,1,0,1,0
Oriolus_hosii,0,0,0,0,0,1,0
Oriolus_cruentus,0,0,0,0,0,1,0
Oriolus_traillii,1,1,0,0,1,1,0
Oriolus_isabellae,0,0,0,0,0,1,0
Oriolus_albiloris,0,0,0,0,0,1,0
Oriolus_steerii,0,0,0,0,0,1,0
Oriolus_xanthonotus,0,0,0,0,0,1,0
