Name,H,B,C,D,E,F,G
Pitta_oatesi,1,0,0,0,0,1,0
Pitta_nipalensis,0,1,0,0,0,1,0
Pitta_soror,0,0,0,0,0,1,0
Pitta_caerulea,0,0,0,0,0,1,0
Pitta_baudii,0,0,0,0,0,1,0
Pitta_guajana,0,0,0,0,0,1,0
Pitta_cyanea,0,0,0,0,0,1,0
Pitta_elliotii,0,0,0,0,0,1,0
Pitta_gurneyi,0,0,0,0,0,1,0
Pitta_phayrei,0,0,0,0,0,1,0
Pitta_angolensis,0,0,0,0,0,0,1
Pitta_reichenowi,0,0,0,0,0,0,1
Pitta_brachyura,0,0,0,1,0,0,0
Pitta_moluccensis,0,0,0,0,0,1,0
Pitta_nympha,0,0,1,0,1,0,0
Pitta_sordida,1,1,0,0,0,1,0
Pitta_anerythra,0,0,0,0,0,0,1
Pitta_elegans,0,0,0,0,0,0,1
Pitta_superba,0,0,0,0,0,0,1
Pitta_iris,0,0,0,0,0,0,1
Pitta_versicolor,0,0,0,0,0,0,1
Pitta_maxima,0,0,0,0,0,0,1
Pitta_steerii,0,0,0,0,0,1,0
Pitta_erythrogaster,0,0,0,0,0,1,0
Pitta_kochi,0,0,0,0,0,1,0
Pitta_venusta,0,0,0,0,0,1,0
Pitta_granatina,0,0,0,0,0,1,0
Pitta_arcuata,0,0,0,0,0,1,0
