Name,H,B,C,D,E,F,G
Jynx_torquilla,0,0,1,0,0,0,0
Dendrocopos_kizuki,0,0,1,0,0,0,0
Dendrocopos_maculatus,0,0,0,0,0,1,0
Dendrocopos_canicapillus,1,1,1,0,1,1,0
Dendrocopos_moluccensis,0,0,0,0,0,1,0
Picoides_arcticus,0,0,0,0,0,0,1
Picoides_tridactylus,1,0,1,0,0,0,1
Picoides_dorsalis,0,0,0,0,0,0,1
Dendrocopos_mahrattensis,0,0,0,1,0,1,0
Dendrocopos_medius,0,0,1,0,0,0,0
Mesopicos_goertae,0,0,0,0,0,0,1
Mesopicos_griseocephalus,0,0,0,0,0,0,1
Thripias_pyrrhogaster,0,0,0,0,0,0,1
Dendropicos_fuscescens,0,0,0,0,0,0,1
Mesopicos_elliotii,0,0,0,0,0,0,1
Picoides_albolarvatus,0,0,0,0,0,0,1
Picoides_arizonae,0,0,0,0,0,0,1
Picoides_stricklandi,0,0,0,0,0,0,1
Picoides_villosus,0,0,0,0,0,0,1
Picoides_fumigatus,0,0,0,0,0,0,1
Picoides_borealis,0,0,0,0,0,0,1
Veniliornis_chocoensis,0,0,0,0,0,0,1
Veniliornis_passerinus,0,0,0,0,0,0,1
Veniliornis_frontalis,0,0,0,0,0,0,1
Veniliornis_nigriceps,0,0,0,0,0,0,1
Veniliornis_affinis,0,0,0,0,0,0,1
Veniliornis_dignus,0,0,0,0,0,0,1
Veniliornis_callonotus,0,0,0,0,0,0,1
Veniliornis_lignarius,0,0,0,0,0,0,1
Veniliornis_mixtus,0,0,0,0,0,0,1
Veniliornis_spilogaster,0,0,0,0,0,0,1
Veniliornis_kirkii,0,0,0,0,0,0,1
Veniliornis_cassini,0,0,0,0,0,0,1
Dendrocopos_minor,0,0,1,0,0,0,0
Picoides_pubescens,0,0,0,0,0,0,1
Picoides_nuttallii,0,0,0,0,0,0,1
Picoides_scalaris,0,0,0,0,0,0,1
Dendrocopos_hyperythrus,1,1,1,0,0,1,0
Dendrocopos_macei,0,1,0,1,0,1,0
Dendrocopos_noguchii,0,0,1,0,0,0,0
Dendrocopos_leucotos,1,0,1,0,0,0,0
Dendrocopos_syriacus,0,0,1,0,0,0,0
Dendrocopos_major,1,0,1,0,1,0,0
Melanerpes_pucherani,0,0,0,0,0,0,1
