Name,H,B,C,D,E,F,G
Myadestes_townsendi,0,0,0,0,0,0,1
Myadestes_obscurus,0,0,0,0,0,0,1
Myadestes_unicolor,0,0,0,0,0,0,1
Myadestes_occidentalis,0,0,0,0,0,0,1
Myadestes_elisabeth,0,0,0,0,0,0,1
Myadestes_ralloides,0,0,0,0,0,0,1
Myadestes_melanops,0,0,0,0,0,0,1
Myadestes_coloratus,0,0,0,0,0,0,1
Myadestes_genibarbis,0,0,0,0,0,0,1
Neocossyphus_poensis,0,0,0,0,0,0,1
Neocossyphus_rufus,0,0,0,0,0,0,1
Stizorhina_fraseri,0,0,0,0,0,0,1
Stizorhina_finschi,0,0,0,0,0,0,1
Sialia_mexicana,0,0,0,0,0,0,1
Sialia_currucoides,0,0,0,0,0,0,1
Sialia_sialis,0,0,0,0,0,0,1
Zoothera_sibirica,0,0,1,0,0,0,0
Psophocichla_litsitsirupa,0,0,0,0,0,0,1
Turdus_mupinensis,1,0,1,0,1,0,0
Turdus_tephronotus,0,0,0,0,0,0,1
Turdus_merula,0,0,1,0,0,0,0
Turdus_menachensis,0,0,0,0,0,0,1
Turdus_ludoviciae,0,0,0,0,0,0,1
Turdus_plebejus,0,0,0,0,0,0,1
Turdus_iliacus,0,0,1,0,0,0,0
Turdus_olivaceus,0,0,0,0,0,0,1
Turdus_helleri,0,0,0,0,0,0,1
Turdus_lherminieri,0,0,0,0,0,0,1
Turdus_olivaceofuscus,0,0,0,0,0,0,1
Turdus_pelios,0,0,0,0,0,0,1
Turdus_leucops,0,0,0,0,0,0,1
Nesocichla_eremita,0,0,0,0,0,0,1
Turdus_maranonicus,0,0,0,0,0,0,1
Turdus_ignobilis,0,0,0,0,0,0,1
Turdus_amaurochalinus,0,0,0,0,0,0,1
Turdus_chiguanco,0,0,0,0,0,0,1
Turdus_nigriceps,0,0,0,0,0,0,1
Turdus_fuscater,0,0,0,0,0,0,1
Turdus_serranus,0,0,0,0,0,0,1
Turdus_olivater,0,0,0,0,0,0,1
Turdus_fulviventris,0,0,0,0,0,0,1
Turdus_rufopalliatus,0,0,0,0,0,0,1
Turdus_albicollis,0,0,0,0,0,0,1
Turdus_assimilis,0,0,0,0,0,0,1
Turdus_lawrencii,0,0,0,0,0,0,1
Turdus_flavipes,0,0,0,0,0,0,1
Turdus_obsoletus,0,0,0,0,0,0,1
Turdus_leucomelas,0,0,0,0,0,0,1
Turdus_hauxwelli,0,0,0,0,0,0,1
Turdus_fumigatus,0,0,0,0,0,0,1
Turdus_maculirostris,0,0,0,0,0,0,1
Turdus_grayi,0,0,0,0,0,0,1
Turdus_nudigenis,0,0,0,0,0,0,1
Turdus_haplochrous,0,0,0,0,0,0,1
Turdus_rufiventris,0,0,0,0,0,0,1
Turdus_reevei,0,0,0,0,0,0,1
Turdus_falcklandii,0,0,0,0,0,0,1
Turdus_jamaicensis,0,0,0,0,0,0,1
Turdus_swalesi,0,0,0,0,0,0,1
Turdus_nigrescens,0,0,0,0,0,0,1
Turdus_infuscatus,0,0,0,0,0,0,1
Turdus_migratorius,0,0,0,0,0,0,1
Turdus_rufitorques,0,0,0,0,0,0,1
Turdus_plumbeus,0,0,0,0,0,0,1
Turdus_aurantius,0,0,0,0,0,0,1
Turdus_boulboul,1,1,0,0,0,1,0
Turdus_unicolor,0,1,0,0,0,0,0
Turdus_dissimilis,1,0,0,0,0,1,0
Turdus_cardis,0,0,1,0,1,0,0
Turdus_hortulorum,0,0,1,0,0,0,0
Turdus_poliocephalus,0,0,0,0,0,1,1
Turdus_pallidus,0,0,1,0,0,0,0
Turdus_feae,0,0,1,0,0,0,0
Turdus_obscurus,0,0,1,0,0,0,0
Turdus_chrysolaus,0,0,1,0,0,0,0
Turdus_celaenops,0,0,1,0,0,0,0
Turdus_pilaris,0,0,1,0,0,0,0
Turdus_naumanni,0,0,1,0,0,0,0
Turdus_ruficollis,0,0,1,0,0,0,0
Turdus_torquatus,0,0,1,0,0,0,0
Turdus_kessleri,1,0,1,0,0,0,0
Turdus_rubrocanus,1,1,1,0,0,0,0
Turdus_albocinctus,1,1,0,0,0,0,0
Turdus_bewsheri,0,0,0,0,0,0,1
Turdus_libonyanus,0,0,0,0,0,0,1
Turdus_philomelos,0,0,1,0,0,0,0
Turdus_viscivorus,0,1,1,0,0,0,0
Zoothera_wardii,0,1,0,0,0,0,0
Zoothera_camaronensis,0,0,0,0,0,0,1
Zoothera_princei,0,0,0,0,0,0,1
Zoothera_citrina,1,1,0,1,1,1,0
Zoothera_schistacea,0,0,0,0,0,1,0
Zoothera_erythronota,0,0,0,0,0,1,0
Zoothera_mendeni,0,0,0,0,0,1,0
Zoothera_cinerea,0,0,0,0,0,1,0
Zoothera_peronii,0,0,0,0,0,1,0
Zoothera_dohertyi,0,0,0,0,0,1,0
Zoothera_interpres,0,0,0,0,0,1,0
Zoothera_spiloptera,0,0,0,1,0,0,0
Zoothera_crossleyi,0,0,0,0,0,0,1
Zoothera_piaggiae,0,0,0,0,0,0,1
Zoothera_gurneyi,0,0,0,0,0,0,1
Zoothera_oberlaenderi,0,0,0,0,0,0,1
Zoothera_guttata,0,0,0,0,0,0,1
Cochoa_viridis,0,1,0,0,0,1,0
Chlamydochaera_jefferyi,0,0,0,0,0,1,0
Zoothera_monticola,1,1,0,0,0,1,0
Zoothera_marginata,1,1,0,0,0,1,0
Zoothera_andromedae,0,0,0,0,0,1,0
Zoothera_talaseae,0,0,0,0,0,0,1
Zoothera_heinei,0,0,0,0,0,0,1
Zoothera_lunulata,0,0,0,0,0,0,1
Zoothera_dauma,1,1,0,1,0,1,0
Zoothera_mollissima,1,1,0,0,0,0,0
Zoothera_dixoni,1,1,0,0,0,1,0
Entomodestes_coracinus,0,0,0,0,0,0,1
Entomodestes_leucotis,0,0,0,0,0,0,1
Cichlopsis_leucogenys,0,0,0,0,0,0,1
Catharus_fuscater,0,0,0,0,0,0,1
Catharus_dryas,0,0,0,0,0,0,1
Catharus_mexicanus,0,0,0,0,0,0,1
Catharus_aurantiirostris,0,0,0,0,0,0,1
Catharus_guttatus,0,0,0,0,0,0,1
Catharus_occidentalis,0,0,0,0,0,0,1
Catharus_frantzii,0,0,0,0,0,0,1
