Name,H,B,C,D,E,F,G
Pseudochelidon_eurystomina,0,0,0,0,0,0,1
Eurochelidon_sirintarae,0,0,0,0,0,1,0
Psalidoprocne_fuliginosa,0,0,0,0,0,0,1
Psalidoprocne_pristoptera,0,0,0,0,0,0,1
Psalidoprocne_obscura,0,0,0,0,0,0,1
Psalidoprocne_nitens,0,0,0,0,0,0,1
Psalidoprocne_albiceps,0,0,0,0,0,0,1
Pseudhirundo_griseopyga,0,0,0,0,0,0,1
Cheramoeca_leucosterna,0,0,0,0,0,0,1
Tachycineta_albiventer,0,0,0,0,0,0,1
Tachycineta_albilinea,0,0,0,0,0,0,1
Tachycineta_stolzmanni,0,0,0,0,0,0,1
Tachycineta_leucorrhoa,0,0,0,0,0,0,1
Tachycineta_meyeni,0,0,0,0,0,0,1
Tachycineta_euchrysea,0,0,0,0,0,0,1
Tachycineta_thalassina,0,0,0,0,0,0,1
Tachycineta_cyaneoviridis,0,0,0,0,0,0,1
Tachycineta_bicolor,0,0,0,0,0,0,1
Riparia_riparia,0,0,1,0,0,0,1
Riparia_paludicola,0,0,0,0,0,0,1
Neochelidon_tibialis,0,0,0,0,0,0,1
Notiochelidon_pileata,0,0,0,0,0,0,1
Atticora_fasciata,0,0,0,0,0,0,1
Atticora_melanoleuca,0,0,0,0,0,0,1
Pygochelidon_cyanoleuca,0,0,0,0,0,0,1
Alopochelidon_fucata,0,0,0,0,0,0,1
Notiochelidon_flavipes,0,0,0,0,0,0,1
Haplochelidon_andecola,0,0,0,0,0,0,1
Notiochelidon_murina,0,0,0,0,0,0,1
Stelgidopteryx_serripennis,0,0,0,0,0,0,1
Stelgidopteryx_ruficollis,0,0,0,0,0,0,1
Progne_tapera,0,0,0,0,0,0,1
Progne_elegans,0,0,0,0,0,0,1
Progne_murphyi,0,0,0,0,0,0,1
Progne_modesta,0,0,0,0,0,0,1
Progne_chalybea,0,0,0,0,0,0,1
Progne_sinaloae,0,0,0,0,0,0,1
Progne_subis,0,0,0,0,0,0,1
Progne_dominicensis,0,0,0,0,0,0,1
Progne_cryptoleuca,0,0,0,0,0,0,1
Phedina_borbonica,0,0,0,0,0,0,1
Phedina_brazzae,0,0,0,0,0,0,1
Riparia_cincta,0,0,0,0,0,0,1
Hirundo_atrocaerulea,0,0,0,0,0,0,1
Hirundo_nigrorufa,0,0,0,0,0,0,1
Hirundo_neoxena,0,0,0,0,0,0,1
Hirundo_tahitica,0,0,0,0,0,0,1
Hirundo_albigularis,0,0,0,0,0,0,1
Hirundo_nigrita,0,0,0,0,0,0,1
Hirundo_angolensis,0,0,0,0,0,0,1
Hirundo_lucida,0,0,0,0,0,0,1
Hirundo_aethiopica,0,0,0,0,0,0,1
Hirundo_rustica,1,1,1,0,1,0,1
Hirundo_smithii,0,0,1,1,0,1,1
Hirundo_megaensis,0,0,0,0,0,0,1
Hirundo_cucullata,0,0,0,0,0,0,1
Hirundo_leucosoma,0,0,0,0,0,0,1
Hirundo_dimidiata,0,0,0,0,0,0,1
Hirundo_fuligula,0,0,0,0,0,0,1
Hirundo_concolor,0,0,0,1,0,1,0
Hirundo_rupestris,1,1,1,0,0,0,0
Delichon_urbicum,0,1,1,0,0,0,0
Delichon_nipalense,1,1,0,0,0,1,0
Delichon_dasypus,1,1,1,0,1,0,0
Petrochelidon_rufocollaris,0,0,0,0,0,0,1
Petrochelidon_pyrrhonota,0,0,0,0,0,0,1
Petrochelidon_fulva,0,0,0,0,0,0,1
Hirundo_spilodera,0,0,0,0,0,0,1
Hirundo_ariel,0,0,0,0,0,0,1
Hirundo_nigricans,0,0,0,0,0,0,1
Hirundo_fluvicola,0,0,0,1,0,0,0
Hirundo_rufigula,0,0,0,0,0,0,1
Hirundo_preussi,0,0,0,0,0,0,1
Hirundo_abyssinica,0,0,0,0,0,0,1
Hirundo_striolata,1,0,0,0,0,1,0
Hirundo_daurica,1,1,1,1,1,1,1
Hirundo_semirufa,0,0,0,0,0,0,1
