Name,H,B,C,D,E,F,G
Acrocephalus_griseldis,0,0,1,0,0,0,0
Acrocephalus_arundinaceus,0,0,1,0,0,0,0
Acrocephalus_stentoreus,1,0,1,1,0,1,0
Acrocephalus_vaughani,0,0,0,0,0,0,1
Acrocephalus_taiti,0,0,0,0,0,0,1
Acrocephalus_mendanae,0,0,0,0,0,0,1
Acrocephalus_atyphus,0,0,0,0,0,0,1
Acrocephalus_caffer,0,0,0,0,0,0,1
Acrocephalus_rimatarae,0,0,0,0,0,0,1
Acrocephalus_kerearako,0,0,0,0,0,0,1
Acrocephalus_familiaris,0,0,0,0,0,0,1
Acrocephalus_aequinoctialis,0,0,0,0,0,0,1
Acrocephalus_australis,0,0,0,0,0,0,1
Acrocephalus_newtoni,0,0,0,0,0,0,1
Acrocephalus_sechellensis,0,0,0,0,0,0,1
Acrocephalus_rufescens,0,0,0,0,0,0,1
Acrocephalus_brevipennis,0,0,0,0,0,0,1
Acrocephalus_gracilirostris,0,0,0,0,0,0,1
Acrocephalus_schoenobaenus,0,0,1,0,0,0,0
Acrocephalus_melanopogon,0,0,1,0,0,0,0
Acrocephalus_bistrigiceps,0,0,1,0,0,0,0
Acrocephalus_paludicola,0,0,1,0,0,0,0
Acrocephalus_scirpaceus,0,0,1,0,0,0,1
Acrocephalus_dumetorum,0,0,1,0,0,0,0
Acrocephalus_orinus,0,0,1,0,0,0,0
Acrocephalus_agricola,0,0,1,0,0,0,0
Acrocephalus_concinens,0,0,1,0,0,0,0
Acrocephalus_tangorum,0,0,1,0,0,0,0
Acrocephalus_palustris,0,0,1,0,0,0,0
