Name,H,B,C,D,E,F,G
Amandava_subflava,0,0,0,0,0,0,1
Amandava_amandava,1,1,0,1,0,1,0
Amandava_formosa,0,0,0,1,0,0,0
Ortygospiza_atricollis,0,0,0,0,0,0,1
Erythrura_prasina,0,0,0,0,0,1,0
Erythrura_trichroa,0,0,0,0,0,0,1
Erythrura_tricolor,0,0,0,0,0,0,1
Erythrura_gouldiae,0,0,0,0,0,0,1
Lonchura_malabarica,0,0,0,1,0,0,0
Lonchura_cantans,0,0,0,0,0,0,1
Stagonopleura_guttata,0,0,0,0,0,0,1
Taeniopygia_guttata,0,0,0,0,0,0,1
Neochmia_ruficauda,0,0,0,0,0,0,1
Neochmia_modesta,0,0,0,0,0,0,1
Poephila_personata,0,0,0,0,0,0,1
Poephila_cincta,0,0,0,0,0,0,1
Poephila_acuticauda,0,0,0,0,0,0,1
Taeniopygia_bichenovii,0,0,0,0,0,0,1
Emblema_pictum,0,0,0,0,0,0,1
Neochmia_phaeton,0,0,0,0,0,0,1
Neochmia_temporalis,0,0,0,0,0,0,1
Heteromunia_pectoralis,0,0,0,0,0,0,1
Lonchura_griseicapilla,0,0,0,0,0,0,1
Lonchura_bicolor,0,0,0,0,0,0,1
Lonchura_fringilloides,0,0,0,0,0,0,1
Lonchura_cucullata,0,0,0,0,0,0,1
Padda_oryzivora,0,0,0,0,0,1,0
Lonchura_nana,0,0,0,0,0,0,1
Lonchura_pallida,0,0,0,0,0,1,0
Lonchura_maja,0,0,0,0,0,1,0
Lonchura_malacca,0,0,0,1,0,0,0
Lonchura_castaneothorax,0,0,0,0,0,0,1
Lonchura_quinticolor,0,0,0,0,0,1,0
Lonchura_punctulata,1,1,0,1,1,1,0
Lonchura_striata,1,1,0,1,1,1,0
Lonchura_kelaarti,0,0,0,1,0,0,0
Lonchura_leucogastroides,0,0,0,0,0,1,0
Nigrita_canicapillus,0,0,0,0,0,0,1
Nigrita_bicolor,0,0,0,0,0,0,1
Parmoptila_jamesoni,0,0,0,0,0,0,1
Estrilda_quartinia,0,0,0,0,0,0,1
Estrilda_melanotis,0,0,0,0,0,0,1
Nesocharis_shelleyi,0,0,0,0,0,0,1
Cryptospiza_shelleyi,0,0,0,0,0,0,1
Cryptospiza_reichenovii,0,0,0,0,0,0,1
Mandingoa_nitidula,0,0,0,0,0,0,1
Nesocharis_capistrata,0,0,0,0,0,0,1
Estrilda_caerulescens,0,0,0,0,0,0,1
Estrilda_perreini,0,0,0,0,0,0,1
Estrilda_erythronotos,0,0,0,0,0,0,1
Estrilda_astrild,0,0,0,0,0,0,1
Estrilda_paludicola,0,0,0,0,0,0,1
Estrilda_melpoda,0,0,0,0,0,0,1
Estrilda_rhodopyga,0,0,0,0,0,0,1
Estrilda_troglodytes,0,0,0,0,0,0,1
Estrilda_atricapilla,0,0,0,0,0,0,1
Estrilda_nonnula,0,0,0,0,0,0,1
Amadina_fasciata,0,0,0,0,0,0,1
Amadina_erythrocephala,0,0,0,0,0,0,1
Lagonosticta_rara,0,0,0,0,0,0,1
Lagonosticta_larvata,0,0,0,0,0,0,1
Lagonosticta_rhodopareia,0,0,0,0,0,0,1
Lagonosticta_virata,0,0,0,0,0,0,1
Pyrenestes_sanguineus,0,0,0,0,0,0,1
Lagonosticta_umbrinodorsalis,0,0,0,0,0,0,1
Lagonosticta_sanguinodorsalis,0,0,0,0,0,0,1
Lagonosticta_rubricata,0,0,0,0,0,0,1
Clytospiza_monteiri,0,0,0,0,0,0,1
Hypargos_margaritatus,0,0,0,0,0,0,1
Pytilia_melba,0,0,0,0,0,0,1
Hypargos_niveoguttatus,0,0,0,0,0,0,1
Euschistospiza_dybowskii,0,0,0,0,0,0,1
Euschistospiza_cinereovinacea,0,0,0,0,0,0,1
Spermophaga_haematina,0,0,0,0,0,0,1
Pytilia_afra,0,0,0,0,0,0,1
Pytilia_phoenicoptera,0,0,0,0,0,0,1
Pytilia_hypogrammica,0,0,0,0,0,0,1
Pytilia_lineata,0,0,0,0,0,0,1
Uraeginthus_angolensis,0,0,0,0,0,0,1
Uraeginthus_cyanocephalus,0,0,0,0,0,0,1
Uraeginthus_bengalus,0,0,0,0,0,0,1
Uraeginthus_granatinus,0,0,0,0,0,0,1
Uraeginthus_ianthinogaster,0,0,0,0,0,0,1
Lagonosticta_senegala,0,0,0,0,0,0,1
Lagonosticta_nitidula,0,0,0,0,0,0,1
Lagonosticta_rufopicta,0,0,0,0,0,0,1
