Name,H,B,C,D,E,F,G
Cutia_legalleni,0,0,0,0,0,1,0
Cutia_nipalensis,1,1,0,0,0,1,0
Laniellus_albonotatus,0,0,0,0,0,1,0
Laniellus_langbianis,0,0,0,0,0,1,0
Grammatoptila_striata,1,1,0,0,0,0,0
Argya_affinis,0,0,0,1,0,0,0
Argya_striata,0,1,0,1,0,0,0
Argya_rufescens,0,0,0,1,0,0,0
Argya_longirostris,0,1,0,0,0,0,0
Argya_subrufa,0,0,0,1,0,0,0
Argya_altirostris,0,0,1,0,0,0,0
Argya_huttoni,0,0,1,0,0,0,0
Argya_caudata,0,0,1,1,0,0,0
Argya_earlei,0,1,0,1,0,0,0
Argya_gularis,0,0,0,0,0,1,0
Argya_fulva,0,0,1,0,0,0,0
Argya_squamiceps,0,0,1,0,0,0,0
Argya_aylmeri,0,0,0,0,0,0,1
Argya_rubiginosa,0,0,0,0,0,0,1
Argya_cinereifrons,0,0,0,1,0,0,0
Argya_malcolmi,0,0,0,1,0,0,0
Turdoides_atripennis,0,0,0,0,0,0,1
Turdoides_chapini,0,0,0,0,0,0,1
Turdoides_gilberti,0,0,0,0,0,0,1
Turdoides_bicolor,0,0,0,0,0,0,1
Turdoides_hartlaubii,0,0,0,0,0,0,1
Turdoides_hypoleuca,0,0,0,0,0,0,1
Turdoides_melanops,0,0,0,0,0,0,1
Turdoides_sharpei,0,0,0,0,0,0,1
Turdoides_reinwardtii,0,0,0,0,0,0,1
Turdoides_tenebrosa,0,0,0,0,0,0,1
Turdoides_gymnogenys,0,0,0,0,0,0,1
Turdoides_leucocephala,0,0,0,0,0,0,1
Turdoides_leucopygia,0,0,0,0,0,0,1
Turdoides_jardineii,0,0,0,0,0,0,1
Turdoides_squamulata,0,0,0,0,0,0,1
Turdoides_plebejus,0,0,0,0,0,0,1
Turdoides_nipalensis,0,1,0,0,0,0,0
Garrulax_annamensis,0,0,0,0,0,1,0
Garrulax_merulinus,1,0,0,0,0,1,0
Garrulax_canorus,1,0,0,0,1,1,0
Garrulax_taewanus,0,0,0,0,1,0,0
Garrulax_bicolor,0,0,0,0,0,1,0
Garrulax_leucolophus,1,1,0,0,0,1,0
Garrulax_castanotis,0,0,0,0,0,1,0
Garrulax_maesi,1,0,0,0,1,1,0
Garrulax_strepitans,0,0,0,0,0,1,0
Garrulax_milleti,0,0,0,0,0,1,0
Garrulax_palliatus,0,0,0,0,0,1,0
Garrulax_monileger,1,1,0,0,1,1,0
Garrulax_rufifrons,0,0,0,0,0,1,0
Ianthocincla_bieti,1,0,0,0,0,0,0
Ianthocincla_lunulata,1,0,1,0,0,0,0
Ianthocincla_maxima,1,0,0,0,0,0,0
Ianthocincla_ocellata,1,1,0,0,0,0,0
Ianthocincla_cineracea,1,0,0,0,0,1,0
Ianthocincla_rufogularis,0,1,0,0,0,0,0
Ianthocincla_sukatschewi,1,0,0,0,0,0,0
Pterorhinus_albogularis,1,1,0,0,1,1,0
Pterorhinus_ruficeps,0,0,0,0,1,0,0
Pterorhinus_caerulatus,1,1,0,0,0,0,0
Pterorhinus_poecilorhynchus,0,0,0,0,1,0,0
Pterorhinus_berthemyi,1,0,0,0,1,0,0
Pterorhinus_davidi,1,0,1,0,0,0,0
Pterorhinus_koslowi,1,0,0,0,0,0,0
Pterorhinus_waddelli,0,1,0,0,0,0,0
Pterorhinus_lanceolatus,1,0,0,0,1,1,0
Pterorhinus_woodi,0,0,0,0,0,1,0
Pterorhinus_pectoralis,1,1,0,0,1,1,0
Pterorhinus_perspicillatus,1,0,0,0,1,1,0
Pterorhinus_sannio,1,0,0,0,1,1,0
Pterorhinus_chinensis,0,0,0,0,0,1,0
Pterorhinus_nuchalis,0,0,0,0,0,1,0
Pterorhinus_ruficollis,0,1,0,0,0,1,0
Pterorhinus_mitratus,0,0,0,0,0,1,0
Pterorhinus_treacheri,0,0,0,0,0,1,0
Pterorhinus_courtoisi,0,0,0,0,1,0,0
Pterorhinus_galbanus,0,0,0,0,0,1,0
Pterorhinus_vassali,0,0,0,0,0,1,0
Pterorhinus_delesserti,0,0,0,1,0,0,0
Pterorhinus_gularis,0,0,0,0,0,1,0
Trochalopteron_affine,1,1,0,0,0,1,0
Trochalopteron_elliotii,1,0,1,0,0,0,0
Trochalopteron_henrici,1,1,0,0,0,0,0
Trochalopteron_morrisonianum,0,0,0,0,1,0,0
Trochalopteron_variegatum,0,1,0,0,0,0,0
